experiment_type,model_name,center,fold,train_size,val_size,source_center,target_center,source_size,target_size,accuracy,auc,sensitivity,specificity,precision,negative_predictive_value
single_center,PANDA_TabPFN_TCA,Cleveland,0.0,202,101,Cleveland,Cleveland,202,101,0.6633663366336634,0.7375494071146245,0.5869565217391305,0.7272727272727273,0.6428571428571429,0.6779661016949152
single_center,PANDA_TabPFN_TCA,Cleveland,1.0,202,101,Cleveland,Cleveland,202,101,0.6831683168316832,0.742687747035573,0.6304347826086957,0.7272727272727273,0.6590909090909091,0.7017543859649122
single_center,PANDA_TabPFN_TCA,Cleveland,2.0,202,101,Cleveland,Cleveland,202,101,0.7029702970297029,0.7324665090622537,0.574468085106383,0.8148148148148148,0.7297297297297297,0.6875
single_center,PANDA_TabPFN_TCA,Hungarian,0.0,196,98,Hungarian,Hungarian,196,98,0.7244897959183674,0.6598639455782314,0.22857142857142856,1.0,1.0,0.7
single_center,PANDA_TabPFN_TCA,Hungarian,1.0,196,98,Hungarian,Hungarian,196,98,0.6530612244897959,0.7578231292517007,0.22857142857142856,0.8888888888888888,0.5333333333333333,0.6746987951807228
single_center,PANDA_TabPFN_TCA,Hungarian,2.0,196,98,Hungarian,Hungarian,196,98,0.6224489795918368,0.586021505376344,0.25,0.8387096774193549,0.47368421052631576,0.6582278481012658
single_center,PANDA_TabPFN_TCA,VA,0.0,133,67,VA,VA,133,67,0.746268656716418,0.591764705882353,1.0,0.0,0.746268656716418,0.0
single_center,PANDA_TabPFN_TCA,VA,1.0,133,67,VA,VA,133,67,0.746268656716418,0.5976470588235294,1.0,0.0,0.746268656716418,0.0
single_center,PANDA_TabPFN_TCA,VA,2.0,134,66,VA,VA,134,66,0.7424242424242424,0.5666266506602641,1.0,0.0,0.7424242424242424,0.0
single_center,PANDA_TabPFN_TCA,Switzerland,0.0,82,41,Switzerland,Switzerland,82,41,0.9512195121951219,0.358974358974359,1.0,0.0,0.9512195121951219,0.0
single_center,PANDA_TabPFN_TCA,Switzerland,1.0,82,41,Switzerland,Switzerland,82,41,0.926829268292683,0.45614035087719307,1.0,0.0,0.926829268292683,0.0
single_center,PANDA_TabPFN_TCA,Switzerland,2.0,82,41,Switzerland,Switzerland,82,41,0.926829268292683,0.37719298245614036,1.0,0.0,0.926829268292683,0.0
cross_domain,PANDA_TabPFN_TCA,,,303,294,Cleveland,Hungarian,303,294,0.6394557823129252,0.7065937374548374,0.7641509433962265,0.5691489361702128,0.5,0.8106060606060606
cross_domain,PANDA_TabPFN_TCA,,,303,200,Cleveland,VA,303,200,0.695,0.5875773128043164,0.8389261744966443,0.27450980392156865,0.7716049382716049,0.3684210526315789
cross_domain,PANDA_TabPFN_TCA,,,294,303,Hungarian,Cleveland,294,303,0.6138613861386139,0.7451307246885418,0.18705035971223022,0.975609756097561,0.8666666666666667,0.5860805860805861
