experiment_type,model_name,center,fold,train_size,val_size,source_center,target_center,source_size,target_size,accuracy,auc,sensitivity,specificity,precision,negative_predictive_value
single_center,PANDA_TabPFN_TCA,Cleveland,0.0,202,101,Cleveland,Cleveland,202,101,0.8811881188118812,0.9233201581027668,0.8478260869565217,0.9090909090909091,0.8863636363636364,0.8771929824561403
single_center,TabPFN_Only,Cleveland,0.0,202,101,Cleveland,Cleveland,202,101,0.9207920792079208,0.9426877470355731,0.9347826086956522,0.9090909090909091,0.8958333333333334,0.9433962264150944
single_center,LASSO_LR,Cleveland,0.0,202,101,Cleveland,Cleveland,202,101,0.8514851485148515,0.916600790513834,0.8913043478260869,0.8181818181818182,0.803921568627451,0.9
single_center,Random_Forest,Cleveland,0.0,202,101,Cleveland,Cleveland,202,101,0.8613861386138614,0.949407114624506,0.8478260869565217,0.8727272727272727,0.8478260869565217,0.8727272727272727
single_center,XGBoost,Cleveland,0.0,202,101,Cleveland,Cleveland,202,101,0.8316831683168316,0.9237154150197628,0.8260869565217391,0.8363636363636363,0.8085106382978723,0.8518518518518519
single_center,SVM,Cleveland,0.0,202,101,Cleveland,Cleveland,202,101,0.8514851485148515,0.9276679841897233,0.8695652173913043,0.8363636363636363,0.8163265306122449,0.8846153846153846
single_center,KNN,Cleveland,0.0,202,101,Cleveland,Cleveland,202,101,0.8910891089108911,0.9411067193675889,0.8478260869565217,0.9272727272727272,0.9069767441860465,0.8793103448275862
single_center,PANDA_TabPFN_TCA,Cleveland,1.0,202,101,Cleveland,Cleveland,202,101,0.7821782178217822,0.8948616600790513,0.6956521739130435,0.8545454545454545,0.8,0.7704918032786885
single_center,TabPFN_Only,Cleveland,1.0,202,101,Cleveland,Cleveland,202,101,0.8217821782178217,0.8960474308300396,0.717391304347826,0.9090909090909091,0.868421052631579,0.7936507936507936
single_center,LASSO_LR,Cleveland,1.0,202,101,Cleveland,Cleveland,202,101,0.8316831683168316,0.8968379446640317,0.8043478260869565,0.8545454545454545,0.8222222222222222,0.8392857142857143
single_center,Random_Forest,Cleveland,1.0,202,101,Cleveland,Cleveland,202,101,0.8316831683168316,0.8932806324110673,0.7391304347826086,0.9090909090909091,0.8717948717948718,0.8064516129032258
single_center,XGBoost,Cleveland,1.0,202,101,Cleveland,Cleveland,202,101,0.8118811881188119,0.8707509881422925,0.717391304347826,0.8909090909090909,0.8461538461538461,0.7903225806451613
single_center,SVM,Cleveland,1.0,202,101,Cleveland,Cleveland,202,101,0.801980198019802,0.8814229249011858,0.7608695652173914,0.8363636363636363,0.7954545454545454,0.8070175438596491
single_center,KNN,Cleveland,1.0,202,101,Cleveland,Cleveland,202,101,0.801980198019802,0.891699604743083,0.7391304347826086,0.8545454545454545,0.8095238095238095,0.7966101694915254
single_center,PANDA_TabPFN_TCA,Cleveland,2.0,202,101,Cleveland,Cleveland,202,101,0.8217821782178217,0.8833727344365642,0.7872340425531915,0.8518518518518519,0.8222222222222222,0.8214285714285714
single_center,TabPFN_Only,Cleveland,2.0,202,101,Cleveland,Cleveland,202,101,0.8217821782178217,0.9058313632781718,0.7446808510638298,0.8888888888888888,0.8536585365853658,0.8
single_center,LASSO_LR,Cleveland,2.0,202,101,Cleveland,Cleveland,202,101,0.8217821782178217,0.9018912529550828,0.7659574468085106,0.8703703703703703,0.8372093023255814,0.8103448275862069
single_center,Random_Forest,Cleveland,2.0,202,101,Cleveland,Cleveland,202,101,0.8316831683168316,0.9109535066981875,0.7872340425531915,0.8703703703703703,0.8409090909090909,0.8245614035087719
single_center,XGBoost,Cleveland,2.0,202,101,Cleveland,Cleveland,202,101,0.8316831683168316,0.9078014184397163,0.7446808510638298,0.9074074074074074,0.875,0.8032786885245902
single_center,SVM,Cleveland,2.0,202,101,Cleveland,Cleveland,202,101,0.8316831683168316,0.8904649330181245,0.7659574468085106,0.8888888888888888,0.8571428571428571,0.8135593220338984
single_center,KNN,Cleveland,2.0,202,101,Cleveland,Cleveland,202,101,0.8217821782178217,0.8747044917257683,0.7659574468085106,0.8703703703703703,0.8372093023255814,0.8103448275862069
single_center,PANDA_TabPFN_TCA,Hungarian,0.0,196,98,Hungarian,Hungarian,196,98,0.8571428571428571,0.9024943310657597,0.7714285714285715,0.9047619047619048,0.8181818181818182,0.8769230769230769
single_center,TabPFN_Only,Hungarian,0.0,196,98,Hungarian,Hungarian,196,98,0.8367346938775511,0.8857142857142858,0.6857142857142857,0.9206349206349206,0.8275862068965517,0.8405797101449275
single_center,LASSO_LR,Hungarian,0.0,196,98,Hungarian,Hungarian,196,98,0.8163265306122449,0.872108843537415,0.7142857142857143,0.873015873015873,0.7575757575757576,0.8461538461538461
