experiment_type,model_name,n_experiments,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_sensitivity,mean_specificity
single_center,PANDA_TabPFN_TCA,12,0.8299905757832087,0.08366524608132177,0.7821799522790615,0.12956468027779544,0.8646833193139525,0.45603752959856697
single_center,TabPFN_Only,12,0.8403156564179856,0.07536761041167431,0.8355436612247645,0.09351200035208404,0.8724759922470375,0.4551882336512318
single_center,LASSO_LR,12,0.7757992058315955,0.0684684027499089,0.774013315966393,0.12662032130839845,0.7683478469956461,0.7109647421475378
single_center,Random_Forest,12,0.839357126967721,0.06649359885640445,0.8035539025233184,0.11385662423746014,0.850997361839175,0.5344287122908248
single_center,XGBoost,12,0.8397448742259129,0.06672289187911688,0.7932124150589025,0.10347590979663586,0.8437600469317134,0.562618633855193
single_center,SVM,12,0.8113521979932887,0.08254356674413106,0.7291737901761307,0.2217569394506361,0.8105526685867049,0.67997002645959
single_center,KNN,12,0.837394477321331,0.06894526605476312,0.7895777589226983,0.10940275212281413,0.837529736927781,0.5352708054004701
cross_domain,PANDA_TabPFN_TCA,6,0.605973445403276,0.2885950752470782,0.7125044805914578,0.1130333546764002,0.52082367052276,0.744182896303306
cross_domain,TabPFN_Only,6,0.6583851189997049,0.12850703096952726,0.7774897244880447,0.08306508044037078,0.5965450130549689,0.7846151693682143
cross_domain,LASSO_LR,6,0.620067331770509,0.175552125635004,0.77274993942464,0.0791415916260548,0.562087360904478,0.7934814775244123
cross_domain,Random_Forest,6,0.681314227614897,0.12236834091665308,0.8032910363452533,0.06334727924418439,0.6281597303104601,0.7903048695693465
cross_domain,XGBoost,6,0.6349260054178638,0.1494015152506452,0.7924608253722027,0.06359061905131393,0.5807055611353807,0.8239525355203489
cross_domain,SVM,6,0.6910748085759297,0.1974968463420889,0.7659206299444808,0.0827869520075671,0.6669847404665693,0.6781259857342002
cross_domain,KNN,6,0.607304047353466,0.1445054298164095,0.7371520764321263,0.08088357371426039,0.5039922008580736,0.8249363618479739
