fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.7894736842105263,0.85,0.8823529411764706,0.0,1.0,4.0646021366119385
2,0.5789473684210527,0.5769230769230769,0.7333333333333333,0.0,0.8461538461538461,2.16162109375
3,0.5789473684210527,0.5256410256410257,0.7142857142857143,0.16666666666666666,0.7692307692307693,2.1668221950531006
4,0.5263157894736842,0.4285714285714286,0.6896551724137931,0.0,0.8333333333333334,2.1690032482147217
5,0.631578947368421,0.5681818181818181,0.7586206896551724,0.125,1.0,2.163278341293335
6,0.7368421052631579,0.5571428571428572,0.8484848484848485,0.0,1.0,2.168815851211548
7,0.42105263157894735,0.5888888888888889,0.5925925925925926,0.0,0.8,2.1686832904815674
8,0.6842105263157895,0.5384615384615384,0.8125,0.0,1.0,2.160297393798828
9,0.5263157894736842,0.6555555555555556,0.6666666666666666,0.1111111111111111,0.9,2.163482189178467
10,0.7368421052631579,0.7714285714285715,0.8484848484848485,0.0,1.0,2.1650099754333496
