Cancer_Type,Total_Samples,Correctly_Predicted_as_Positive,Wrongly_Predicted_as_Negative,Detection_Rate,Avg_Malignant_Probability
Adenocarcinoma,99,92,7,0.9292929292929293,0.6828292
Squamous Cell Carcinoma,10,8,2,0.8,0.6033295
Poorly Differentiated Squamous Cell Carcinoma,4,4,0,1.0,0.6524126
Small Cell Carcinoma,4,3,1,0.75,0.5678518
Adenosquamous Carcinoma,2,2,0,1.0,0.7799058
Moderately Differentiated Squamous Cell Carcinoma,2,2,0,1.0,0.66639066
Carcinoid (Adeno/Oat Cell),1,1,0,1.0,0.647084
Adenocarcinoma of Right Lower Lobe,1,1,0,1.0,0.71429026
Moderately Differentiated Adenocarcinoma,1,1,0,1.0,0.64124733
Poorly Differentiated Adenocarcinoma,1,1,0,1.0,0.77770483
