fold,accuracy,auc,f1
1,0.7894736842105263,0.85,0.8823529411764706
2,0.5789473684210527,0.5769230769230769,0.7333333333333333
3,0.5789473684210527,0.5256410256410257,0.7142857142857143
4,0.5263157894736842,0.4285714285714286,0.6896551724137931
5,0.631578947368421,0.5681818181818181,0.7586206896551724
6,0.7368421052631579,0.5571428571428572,0.8484848484848485
7,0.42105263157894735,0.5888888888888889,0.5925925925925926
8,0.6842105263157895,0.5384615384615384,0.8125
9,0.5263157894736842,0.6555555555555556,0.6666666666666666
10,0.7368421052631579,0.7714285714285715,0.8484848484848485
