fold,accuracy,auc,f1
1,0.8421052631578947,0.85,0.9032258064516129
2,0.5789473684210527,0.7307692307692308,0.7142857142857143
3,0.6842105263157895,0.6923076923076924,0.7692307692307693
4,0.6842105263157895,0.5833333333333333,0.7692307692307693
5,0.631578947368421,0.5909090909090908,0.7407407407407407
6,0.7894736842105263,0.6428571428571428,0.8666666666666667
7,0.631578947368421,0.7,0.6956521739130435
8,0.7368421052631579,0.7307692307692308,0.8387096774193549
9,0.631578947368421,0.8777777777777778,0.7407407407407407
10,0.6842105263157895,0.6428571428571429,0.8125
