Cancer_Type,Total_Samples,Correctly_Predicted_as_Positive,Wrongly_Predicted_as_Negative,Detection_Rate,Avg_Malignant_Probability
Adenocarcinoma,99,89,10,0.898989898989899,0.7193762
Squamous Cell Carcinoma,10,7,3,0.7,0.57875
Poorly Differentiated Squamous Cell Carcinoma,4,4,0,1.0,0.7097043
Small Cell Carcinoma,4,3,1,0.75,0.57658094
Moderately Differentiated Squamous Cell Carcinoma,2,2,0,1.0,0.8169683
Adenosquamous Carcinoma,2,2,0,1.0,0.8110806
Adenocarcinoma of Right Lower Lobe,1,1,0,1.0,0.87331414
Carcinoid (Adeno/Oat Cell),1,1,0,1.0,0.5700396
Moderately Differentiated Adenocarcinoma,1,1,0,1.0,0.7726591
Poorly Differentiated Adenocarcinoma,1,1,0,1.0,0.66765445
