Feature,Rank
Feature63,1
Feature2,1
Feature46,1
Feature61,2
Feature40,3
Feature56,4
Feature42,5
Feature39,6
Feature43,7
Feature48,8
Feature5,9
Feature22,10
Feature44,11
Feature27,12
Feature49,13
Feature32,14
Feature60,15
Feature62,16
Feature1,17
Feature17,18
Feature47,19
Feature37,20
Feature57,21
Feature29,22
Feature59,23
Feature55,24
Feature23,25
Feature14,26
Feature58,27
Feature31,28
Feature36,29
Feature54,30
Feature12,31
Feature52,32
Feature38,33
Feature21,34
Feature30,35
Feature35,36
Feature26,37
Feature20,38
Feature16,39
Feature24,40
Feature3,41
Feature13,42
Feature34,43
Feature28,44
Feature33,45
Feature25,46
Feature41,47
Feature45,48
Feature19,49
Feature53,50
Feature51,51
Feature7,52
Feature4,53
Feature11,54
Feature9,55
Feature8,56
Feature10,57
Feature50,58
Feature6,59
Feature18,60
Feature15,61
