fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.6333333333333333,0.7407407407407408,0.7027027027027027,0.5,0.7222222222222222,2.888320207595825
2,0.7666666666666667,0.8125,0.851063829787234,0.375,0.9090909090909091,2.879378318786621
3,0.6666666666666666,0.7000000000000001,0.7727272727272727,0.3,0.85,2.8671786785125732
4,0.6333333333333333,0.7737556561085973,0.717948717948718,0.38461538461538464,0.8235294117647058,2.8809475898742676
5,0.7333333333333333,0.746031746031746,0.8,0.6666666666666666,0.7619047619047619,2.8766071796417236
6,0.7586206896551724,0.8506493506493507,0.8292682926829268,0.7142857142857143,0.7727272727272727,2.8649742603302
7,0.8275862068965517,0.9105263157894736,0.8717948717948718,0.7,0.8947368421052632,2.869783639907837
8,0.6896551724137931,0.8232323232323232,0.7804878048780488,0.36363636363636365,0.8888888888888888,3.028690814971924
9,0.7586206896551724,0.9038461538461539,0.8,0.6153846153846154,0.875,2.8636348247528076
10,0.7931034482758621,0.8798076923076924,0.8333333333333334,0.6153846153846154,0.9375,2.8726625442504883
