fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.6333333333333333,0.7361111111111112,0.7027027027027027,0.5,0.7222222222222222,2.879818916320801
2,0.7666666666666667,0.8011363636363635,0.851063829787234,0.375,0.9090909090909091,2.880711317062378
3,0.6666666666666666,0.7000000000000001,0.7727272727272727,0.3,0.85,2.879333734512329
4,0.6333333333333333,0.7918552036199095,0.7317073170731707,0.3076923076923077,0.8823529411764706,2.8862338066101074
5,0.7333333333333333,0.7513227513227514,0.8,0.6666666666666666,0.7619047619047619,3.03707218170166
6,0.7586206896551724,0.8571428571428571,0.8292682926829268,0.7142857142857143,0.7727272727272727,2.875372886657715
7,0.8620689655172413,0.9105263157894736,0.9,0.7,0.9473684210526315,2.8804287910461426
8,0.6896551724137931,0.8333333333333333,0.7804878048780488,0.36363636363636365,0.8888888888888888,2.8780517578125
9,0.7586206896551724,0.9038461538461539,0.8,0.6153846153846154,0.875,2.871731758117676
10,0.7931034482758621,0.8846153846153847,0.8333333333333334,0.6153846153846154,0.9375,2.878682851791382
