fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.7,0.7361111111111112,0.7272727272727273,0.75,0.6666666666666666,3.027848482131958
2,0.7666666666666667,0.7727272727272727,0.8205128205128205,0.875,0.7272727272727273,2.893742799758911
3,0.6666666666666666,0.7000000000000001,0.7619047619047619,0.4,0.8,2.8781447410583496
4,0.7666666666666667,0.7873303167420814,0.7741935483870968,0.8461538461538461,0.7058823529411765,2.9008429050445557
5,0.6666666666666666,0.746031746031746,0.7222222222222222,0.7777777777777778,0.6190476190476191,2.886251449584961
6,0.6896551724137931,0.8571428571428571,0.7567567567567568,0.8571428571428571,0.6363636363636364,2.8742427825927734
7,0.7931034482758621,0.9052631578947368,0.8235294117647058,0.9,0.7368421052631579,2.874295234680176
8,0.7241379310344828,0.8333333333333333,0.7777777777777778,0.6363636363636364,0.7777777777777778,2.8809943199157715
9,0.8275862068965517,0.8990384615384616,0.8387096774193549,0.8461538461538461,0.8125,2.8671276569366455
10,0.7586206896551724,0.8846153846153847,0.7741935483870968,0.7692307692307693,0.75,2.8706018924713135
