fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.6333333333333333,0.7361111111111112,0.7027027027027027,0.5,0.7222222222222222,2.8775887489318848
2,0.7666666666666667,0.7784090909090909,0.851063829787234,0.375,0.9090909090909091,2.886751890182495
3,0.6666666666666666,0.7000000000000001,0.7727272727272727,0.3,0.85,2.878977060317993
4,0.6333333333333333,0.7873303167420814,0.7317073170731707,0.3076923076923077,0.8823529411764706,2.876647710800171
5,0.7333333333333333,0.7513227513227514,0.8,0.6666666666666666,0.7619047619047619,2.8787925243377686
6,0.7586206896551724,0.8571428571428571,0.8292682926829268,0.7142857142857143,0.7727272727272727,2.881782293319702
7,0.8620689655172413,0.9052631578947368,0.9,0.7,0.9473684210526315,2.8708596229553223
8,0.6896551724137931,0.8333333333333333,0.7804878048780488,0.36363636363636365,0.8888888888888888,2.867511034011841
9,0.7586206896551724,0.8990384615384616,0.8,0.6153846153846154,0.875,2.864166021347046
10,0.7931034482758621,0.8846153846153847,0.8333333333333334,0.6153846153846154,0.9375,2.873413324356079
