fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.5333333333333333,0.5949074074074074,0.65,0.25,0.7222222222222222,1.9733896255493164
2,0.7666666666666667,0.7897727272727273,0.8571428571428571,0.25,0.9545454545454546,1.9535856246948242
3,0.6666666666666666,0.6475000000000001,0.7727272727272727,0.3,0.85,1.9511470794677734
4,0.6,0.7058823529411764,0.7142857142857143,0.23076923076923078,0.8823529411764706,1.9527702331542969
5,0.7,0.8465608465608465,0.7906976744186046,0.4444444444444444,0.8095238095238095,1.9492251873016357
6,0.7241379310344828,0.7824675324675325,0.7894736842105263,0.8571428571428571,0.6818181818181818,1.9433698654174805
7,0.9310344827586207,0.9236842105263159,0.9473684210526315,0.9,0.9473684210526315,1.946833610534668
8,0.6206896551724138,0.7878787878787878,0.717948717948718,0.36363636363636365,0.7777777777777778,1.9414207935333252
9,0.7241379310344828,0.8942307692307692,0.7894736842105263,0.46153846153846156,0.9375,2.078413963317871
10,0.6896551724137931,0.826923076923077,0.7567567567567568,0.46153846153846156,0.875,1.945004940032959
