fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.6,0.7407407407407407,0.6666666666666666,0.5,0.6666666666666666,1.9160468578338623
2,0.7,0.7386363636363636,0.8085106382978723,0.25,0.8636363636363636,0.4715690612792969
3,0.6666666666666666,0.7150000000000001,0.7727272727272727,0.3,0.85,0.46248364448547363
4,0.6,0.7601809954751131,0.7,0.3076923076923077,0.8235294117647058,0.4652228355407715
5,0.7333333333333333,0.7619047619047619,0.8095238095238095,0.5555555555555556,0.8095238095238095,0.46489429473876953
6,0.7586206896551724,0.8571428571428572,0.8292682926829268,0.7142857142857143,0.7727272727272727,0.46352410316467285
7,0.8620689655172413,0.8947368421052632,0.9,0.7,0.9473684210526315,0.4619760513305664
8,0.6551724137931034,0.8232323232323232,0.7619047619047619,0.2727272727272727,0.8888888888888888,0.5778646469116211
9,0.7931034482758621,0.9182692307692307,0.8333333333333334,0.6153846153846154,0.9375,0.45888733863830566
10,0.8275862068965517,0.8846153846153846,0.8648648648648649,0.6153846153846154,1.0,0.4667015075683594
