fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.8,0.8425925925925926,0.8421052631578947,0.6666666666666666,0.8888888888888888,67.38440585136414
2,0.8,0.8011363636363636,0.8636363636363636,0.625,0.8636363636363636,57.327585220336914
3,0.7,0.715,0.8,0.3,0.9,57.484846115112305
4,0.5333333333333333,0.7285067873303167,0.65,0.23076923076923078,0.7647058823529411,57.12763977050781
5,0.8,0.7883597883597884,0.8571428571428571,0.6666666666666666,0.8571428571428571,57.408198833465576
6,0.7586206896551724,0.8376623376623376,0.8292682926829268,0.7142857142857143,0.7727272727272727,31.039053678512573
7,0.8275862068965517,0.9210526315789473,0.8648648648648649,0.8,0.8421052631578947,56.82538080215454
8,0.6896551724137931,0.803030303030303,0.7692307692307693,0.45454545454545453,0.8333333333333334,57.185985803604126
9,0.7241379310344828,0.8846153846153846,0.7647058823529411,0.6153846153846154,0.8125,57.06332015991211
10,0.8275862068965517,0.889423076923077,0.8484848484848485,0.7692307692307693,0.875,57.24162483215332
