n_features,features,test_acc,test_auc,test_f1,test_acc_0,test_acc_1,confusion_matrix
1,['Feature2'],0.5350877192982456,0.5541666666666666,0.6535947712418301,0.2037037037037037,0.8333333333333334,"[[11, 43], [10, 50]]"
2,"['Feature2', 'Feature63']",0.5175438596491229,0.5540123456790124,0.6357615894039735,0.2037037037037037,0.8,"[[11, 43], [12, 48]]"
5,"['Feature2', 'Feature63', 'Feature46', 'Feature42', 'Feature5']",0.5263157894736842,0.5530864197530865,0.578125,0.42592592592592593,0.6166666666666667,"[[23, 31], [23, 37]]"
4,"['Feature2', 'Feature63', 'Feature46', 'Feature42']",0.5263157894736842,0.549074074074074,0.5846153846153846,0.4074074074074074,0.6333333333333333,"[[22, 32], [22, 38]]"
3,"['Feature2', 'Feature63', 'Feature46']",0.5,0.5344135802469135,0.6174496644295302,0.2037037037037037,0.7666666666666667,"[[11, 43], [14, 46]]"
7,"['Feature2', 'Feature63', 'Feature46', 'Feature42', 'Feature5', 'Feature57', 'Feature48']",0.5263157894736842,0.5290123456790123,0.578125,0.42592592592592593,0.6166666666666667,"[[23, 31], [23, 37]]"
8,"['Feature2', 'Feature63', 'Feature46', 'Feature42', 'Feature5', 'Feature57', 'Feature48', 'Feature43']",0.5526315789473685,0.5185185185185185,0.5853658536585366,0.5,0.6,"[[27, 27], [24, 36]]"
20,"['Feature2', 'Feature63', 'Feature46', 'Feature42', 'Feature5', 'Feature57', 'Feature48', 'Feature43', 'Feature22', 'Feature56', 'Feature52', 'Feature17', 'Feature47', 'Feature53', 'Feature39', 'Feature3', 'Feature50', 'Feature15', 'Feature14', 'Feature49']",0.5350877192982456,0.5185185185185185,0.5826771653543307,0.4444444444444444,0.6166666666666667,"[[24, 30], [23, 37]]"
6,"['Feature2', 'Feature63', 'Feature46', 'Feature42', 'Feature5', 'Feature57']",0.5087719298245614,0.5182098765432099,0.5625,0.4074074074074074,0.6,"[[22, 32], [24, 36]]"
19,"['Feature2', 'Feature63', 'Feature46', 'Feature42', 'Feature5', 'Feature57', 'Feature48', 'Feature43', 'Feature22', 'Feature56', 'Feature52', 'Feature17', 'Feature47', 'Feature53', 'Feature39', 'Feature3', 'Feature50', 'Feature15', 'Feature14']",0.5263157894736842,0.5148148148148148,0.5714285714285714,0.4444444444444444,0.6,"[[24, 30], [24, 36]]"
17,"['Feature2', 'Feature63', 'Feature46', 'Feature42', 'Feature5', 'Feature57', 'Feature48', 'Feature43', 'Feature22', 'Feature56', 'Feature52', 'Feature17', 'Feature47', 'Feature53', 'Feature39', 'Feature3', 'Feature50']",0.5263157894736842,0.5117283950617284,0.578125,0.42592592592592593,0.6166666666666667,"[[23, 31], [23, 37]]"
9,"['Feature2', 'Feature63', 'Feature46', 'Feature42', 'Feature5', 'Feature57', 'Feature48', 'Feature43', 'Feature22']",0.5350877192982456,0.5114197530864197,0.5826771653543307,0.4444444444444444,0.6166666666666667,"[[24, 30], [23, 37]]"
21,"['Feature2', 'Feature63', 'Feature46', 'Feature42', 'Feature5', 'Feature57', 'Feature48', 'Feature43', 'Feature22', 'Feature56', 'Feature52', 'Feature17', 'Feature47', 'Feature53', 'Feature39', 'Feature3', 'Feature50', 'Feature15', 'Feature14', 'Feature49', 'Feature45']",0.5350877192982456,0.5114197530864197,0.5826771653543307,0.4444444444444444,0.6166666666666667,"[[24, 30], [23, 37]]"
18,"['Feature2', 'Feature63', 'Feature46', 'Feature42', 'Feature5', 'Feature57', 'Feature48', 'Feature43', 'Feature22', 'Feature56', 'Feature52', 'Feature17', 'Feature47', 'Feature53', 'Feature39', 'Feature3', 'Feature50', 'Feature15']",0.5175438596491229,0.5083333333333334,0.5736434108527132,0.4074074074074074,0.6166666666666667,"[[22, 32], [23, 37]]"
10,"['Feature2', 'Feature63', 'Feature46', 'Feature42', 'Feature5', 'Feature57', 'Feature48', 'Feature43', 'Feature22', 'Feature56']",0.5,0.5080246913580246,0.5648854961832062,0.37037037037037035,0.6166666666666667,"[[20, 34], [23, 37]]"
22,"['Feature2', 'Feature63', 'Feature46', 'Feature42', 'Feature5', 'Feature57', 'Feature48', 'Feature43', 'Feature22', 'Feature56', 'Feature52', 'Feature17', 'Feature47', 'Feature53', 'Feature39', 'Feature3', 'Feature50', 'Feature15', 'Feature14', 'Feature49', 'Feature45', 'Feature4']",0.5175438596491229,0.5077160493827161,0.5736434108527132,0.4074074074074074,0.6166666666666667,"[[22, 32], [23, 37]]"
16,"['Feature2', 'Feature63', 'Feature46', 'Feature42', 'Feature5', 'Feature57', 'Feature48', 'Feature43', 'Feature22', 'Feature56', 'Feature52', 'Feature17', 'Feature47', 'Feature53', 'Feature39', 'Feature3']",0.5350877192982456,0.5030864197530864,0.5826771653543307,0.4444444444444444,0.6166666666666667,"[[24, 30], [23, 37]]"
15,"['Feature2', 'Feature63', 'Feature46', 'Feature42', 'Feature5', 'Feature57', 'Feature48', 'Feature43', 'Feature22', 'Feature56', 'Feature52', 'Feature17', 'Feature47', 'Feature53', 'Feature39']",0.5263157894736842,0.5021604938271605,0.578125,0.42592592592592593,0.6166666666666667,"[[23, 31], [23, 37]]"
11,"['Feature2', 'Feature63', 'Feature46', 'Feature42', 'Feature5', 'Feature57', 'Feature48', 'Feature43', 'Feature22', 'Feature56', 'Feature52']",0.5263157894736842,0.5006172839506173,0.578125,0.42592592592592593,0.6166666666666667,"[[23, 31], [23, 37]]"
14,"['Feature2', 'Feature63', 'Feature46', 'Feature42', 'Feature5', 'Feature57', 'Feature48', 'Feature43', 'Feature22', 'Feature56', 'Feature52', 'Feature17', 'Feature47', 'Feature53']",0.5263157894736842,0.49907407407407406,0.578125,0.42592592592592593,0.6166666666666667,"[[23, 31], [23, 37]]"
13,"['Feature2', 'Feature63', 'Feature46', 'Feature42', 'Feature5', 'Feature57', 'Feature48', 'Feature43', 'Feature22', 'Feature56', 'Feature52', 'Feature17', 'Feature47']",0.5350877192982456,0.49876543209876545,0.5826771653543307,0.4444444444444444,0.6166666666666667,"[[24, 30], [23, 37]]"
12,"['Feature2', 'Feature63', 'Feature46', 'Feature42', 'Feature5', 'Feature57', 'Feature48', 'Feature43', 'Feature22', 'Feature56', 'Feature52', 'Feature17']",0.5350877192982456,0.49691358024691357,0.5826771653543307,0.4444444444444444,0.6166666666666667,"[[24, 30], [23, 37]]"
