n_features,features,test_acc,test_auc,test_f1,test_acc_0,test_acc_1
3,"['Feature39', 'Feature43', 'Feature15']",0.499209486166008,0.6057226107226107,0.607997603023187,0.2878787878787879,0.770952380952381
2,"['Feature39', 'Feature43']",0.46442687747035566,0.6016894216894217,0.5638596719887042,0.28383838383838383,0.7133333333333333
1,['Feature39'],0.4905138339920949,0.5989377289377289,0.591041466151008,0.2918803418803419,0.7542857142857142
4,"['Feature39', 'Feature43', 'Feature15', 'Feature17']",0.47312252964426876,0.5918981018981019,0.5679143284211718,0.28383838383838383,0.7342857142857142
7,"['Feature39', 'Feature43', 'Feature15', 'Feature17', 'Feature2', 'Feature47', 'Feature3']",0.48181818181818176,0.573049728049728,0.5719731881022203,0.3088383838383838,0.7319047619047618
5,"['Feature39', 'Feature43', 'Feature15', 'Feature17', 'Feature2']",0.48181818181818176,0.5507781107781108,0.5897514098804421,0.26565656565656565,0.7609523809523809
8,"['Feature39', 'Feature43', 'Feature15', 'Feature17', 'Feature2', 'Feature47', 'Feature3', 'Feature57']",0.47312252964426876,0.5320623820623821,0.5631509758317322,0.28383838383838383,0.7352380952380952
10,"['Feature39', 'Feature43', 'Feature15', 'Feature17', 'Feature2', 'Feature47', 'Feature3', 'Feature57', 'Feature48', 'Feature56']",0.508300395256917,0.5214862914862914,0.6004325110172186,0.2992229992229992,0.7771428571428571
17,"['Feature39', 'Feature43', 'Feature15', 'Feature17', 'Feature2', 'Feature47', 'Feature3', 'Feature57', 'Feature48', 'Feature56', 'Feature42', 'Feature46', 'Feature14', 'Feature53', 'Feature45', 'Feature52', 'Feature22']",0.4383399209486166,0.5179143079143079,0.5565275829827022,0.18484848484848485,0.7428571428571429
20,"['Feature39', 'Feature43', 'Feature15', 'Feature17', 'Feature2', 'Feature47', 'Feature3', 'Feature57', 'Feature48', 'Feature56', 'Feature42', 'Feature46', 'Feature14', 'Feature53', 'Feature45', 'Feature52', 'Feature22', 'Feature49', 'Feature5', 'Feature63']",0.45573122529644267,0.5173565323565323,0.572526338655371,0.2070707070707071,0.7642857142857142
9,"['Feature39', 'Feature43', 'Feature15', 'Feature17', 'Feature2', 'Feature47', 'Feature3', 'Feature57', 'Feature48']",0.47312252964426876,0.5170962370962371,0.56098647366723,0.2866161616161616,0.7328571428571429
11,"['Feature39', 'Feature43', 'Feature15', 'Feature17', 'Feature2', 'Feature47', 'Feature3', 'Feature57', 'Feature48', 'Feature56', 'Feature42']",0.508300395256917,0.5052558552558553,0.6091431556948799,0.27700077700077697,0.7904761904761906
15,"['Feature39', 'Feature43', 'Feature15', 'Feature17', 'Feature2', 'Feature47', 'Feature3', 'Feature57', 'Feature48', 'Feature56', 'Feature42', 'Feature46', 'Feature14', 'Feature53', 'Feature45']",0.45573122529644267,0.5047269397269398,0.5483361610169174,0.2616161616161616,0.7209523809523809
16,"['Feature39', 'Feature43', 'Feature15', 'Feature17', 'Feature2', 'Feature47', 'Feature3', 'Feature57', 'Feature48', 'Feature56', 'Feature42', 'Feature46', 'Feature14', 'Feature53', 'Feature45', 'Feature52']",0.4296442687747035,0.5038883338883339,0.541024539050123,0.18484848484848485,0.7352380952380952
12,"['Feature39', 'Feature43', 'Feature15', 'Feature17', 'Feature2', 'Feature47', 'Feature3', 'Feature57', 'Feature48', 'Feature56', 'Feature42', 'Feature46']",0.46442687747035566,0.5035697635697636,0.552894565575322,0.28383838383838383,0.7209523809523809
18,"['Feature39', 'Feature43', 'Feature15', 'Feature17', 'Feature2', 'Feature47', 'Feature3', 'Feature57', 'Feature48', 'Feature56', 'Feature42', 'Feature46', 'Feature14', 'Feature53', 'Feature45', 'Feature52', 'Feature22', 'Feature49']",0.45573122529644267,0.5018592518592518,0.578085553997195,0.18762626262626264,0.7704761904761905
14,"['Feature39', 'Feature43', 'Feature15', 'Feature17', 'Feature2', 'Feature47', 'Feature3', 'Feature57', 'Feature48', 'Feature56', 'Feature42', 'Feature46', 'Feature14', 'Feature53']",0.4296442687747035,0.4968248418248418,0.5461920851472043,0.18484848484848485,0.7342857142857142
21,"['Feature39', 'Feature43', 'Feature15', 'Feature17', 'Feature2', 'Feature47', 'Feature3', 'Feature57', 'Feature48', 'Feature56', 'Feature42', 'Feature46', 'Feature14', 'Feature53', 'Feature45', 'Feature52', 'Feature22', 'Feature49', 'Feature5', 'Feature63', 'Feature4']",0.4383399209486166,0.49518481518481516,0.5560443018959729,0.18484848484848485,0.7485714285714286
22,"['Feature39', 'Feature43', 'Feature15', 'Feature17', 'Feature2', 'Feature47', 'Feature3', 'Feature57', 'Feature48', 'Feature56', 'Feature42', 'Feature46', 'Feature14', 'Feature53', 'Feature45', 'Feature52', 'Feature22', 'Feature49', 'Feature5', 'Feature63', 'Feature4', 'Feature50']",0.4209486166007905,0.4917532467532467,0.5250576036866359,0.20984848484848487,0.700952380952381
6,"['Feature39', 'Feature43', 'Feature15', 'Feature17', 'Feature2', 'Feature47']",0.46442687747035566,0.49034132534132535,0.5612459153749476,0.28383838383838383,0.7166666666666666
13,"['Feature39', 'Feature43', 'Feature15', 'Feature17', 'Feature2', 'Feature47', 'Feature3', 'Feature57', 'Feature48', 'Feature56', 'Feature42', 'Feature46', 'Feature14']",0.4383399209486166,0.48838050838050834,0.5504248893800086,0.2070707070707071,0.7342857142857142
19,"['Feature39', 'Feature43', 'Feature15', 'Feature17', 'Feature2', 'Feature47', 'Feature3', 'Feature57', 'Feature48', 'Feature56', 'Feature42', 'Feature46', 'Feature14', 'Feature53', 'Feature45', 'Feature52', 'Feature22', 'Feature49', 'Feature5']",0.4209486166007905,0.4796930846930847,0.5266930053220376,0.2070707070707071,0.700952380952381
