fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.4666666666666667,0.6038159371492705,0.4666666666666667,0.5185185185185185,0.42424242424242425,72.221595287323
2,0.5833333333333334,0.6184062850729517,0.6153846153846154,0.5555555555555556,0.6060606060606061,70.08875131607056
3,0.6166666666666667,0.6229143492769744,0.676056338028169,0.4482758620689655,0.7741935483870968,70.18632102012634
4,0.6,0.6320109439124487,0.6842105263157895,0.5882352941176471,0.6046511627906976,69.87815260887146
5,0.6666666666666666,0.6122159090909091,0.7560975609756098,0.5625,0.7045454545454546,70.31043148040771
6,0.5833333333333334,0.7059659090909091,0.647887323943662,0.75,0.5227272727272727,70.2273416519165
7,0.4666666666666667,0.49142857142857144,0.5151515151515151,0.44,0.4857142857142857,71.2150490283966
8,0.65,0.5992949471210341,0.7123287671232876,0.5652173913043478,0.7027027027027027,69.78117609024048
9,0.6333333333333333,0.6944770857814336,0.6764705882352942,0.6521739130434783,0.6216216216216216,69.77308249473572
10,0.6949152542372882,0.7444717444717445,0.7631578947368421,0.5454545454545454,0.7837837837837838,70.57963681221008
