fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.55,0.6487093153759821,0.509090909090909,0.7037037037037037,0.42424242424242425,73.38753342628479
2,0.55,0.6060606060606061,0.5714285714285714,0.5555555555555556,0.5454545454545454,68.98948049545288
3,0.6333333333333333,0.6373748609566184,0.6857142857142857,0.4827586206896552,0.7741935483870968,68.5129041671753
4,0.6,0.6621067031463749,0.6666666666666666,0.7058823529411765,0.5581395348837209,68.44767355918884
5,0.6833333333333333,0.6534090909090908,0.7710843373493976,0.5625,0.7272727272727273,69.2514636516571
6,0.65,0.7585227272727273,0.7123287671232876,0.8125,0.5909090909090909,69.20994806289673
7,0.5333333333333333,0.48457142857142854,0.5882352941176471,0.48,0.5714285714285714,35.48247456550598
8,0.65,0.6227967097532315,0.72,0.5217391304347826,0.7297297297297297,68.65503072738647
9,0.6166666666666667,0.7050528789659224,0.6567164179104478,0.6521739130434783,0.5945945945945946,68.71217513084412
10,0.6949152542372882,0.773955773955774,0.75,0.6363636363636364,0.7297297297297297,68.69221067428589
