n_features,mean_auc,std_auc,mean_accuracy,std_accuracy,mean_f1,std_f1,avg_fscore,top3_features
3,0.5712198912198913,0.17154648026072802,0.5947368421052631,0.11383247857900587,0.6923954682577739,0.10478617601694837,9.158870411783838,"Feature2, Feature56, Feature57"
4,0.6269938394938394,0.174892522139626,0.6473684210526316,0.14477670902300183,0.736904761904762,0.12536291484422885,8.739834820470735,"Feature1, Feature2, Feature56"
5,0.6904323454323454,0.14011593622444163,0.6578947368421052,0.1271173398788547,0.7423316912972086,0.10454554712725714,8.383480745620378,"Feature1, Feature2, Feature52"
6,0.6795776445776446,0.1300697335932596,0.6526315789473683,0.10289739156922932,0.7593363520260072,0.08544809518473757,8.092586104321674,"Feature1, Feature2, Feature17"
7,0.6835447885447886,0.09769634335547937,0.6368421052631578,0.10942081494394859,0.749730440695958,0.08752734735687437,7.6588648460342155,"Feature1, Feature2, Feature17"
8,0.7013855588855589,0.12257690038070408,0.6368421052631579,0.1094208149439486,0.747316748066748,0.08906054717180835,7.186196526830854,"Feature1, Feature2, Feature17"
9,0.6879398379398379,0.12313999609967152,0.6421052631578947,0.1131544947129621,0.7509152329152329,0.09264188328087321,6.797947913077,"Feature1, Feature2, Feature16"
10,0.7041580641580641,0.0988417679483295,0.6894736842105263,0.0802044171976313,0.7850983058679412,0.06805742194209807,6.466831325329894,"Feature1, Feature2, Feature16"
11,0.7138045288045289,0.07217257538614176,0.7105263157894737,0.09365858115816941,0.7974314401249885,0.07868893813806643,6.193226823634446,"Feature1, Feature2, Feature16"
12,0.7142110667110667,0.0748802235591462,0.7000000000000001,0.12167397111859439,0.7899541798579619,0.0985137236645541,5.952774096642169,"Feature1, Feature2, Feature16"
13,0.7080999555999556,0.09277329787444799,0.6736842105263158,0.1075769102930238,0.7736026425372923,0.08599054467924876,5.7240723039336565,"Feature1, Feature2, Feature16"
14,0.6860794760794761,0.10474825855115859,0.6631578947368422,0.10871532199880468,0.760809934318555,0.089877248912391,5.522752304248409,"Feature1, Feature2, Feature16"
15,0.6990392940392941,0.11456482861915797,0.6631578947368422,0.11423733751648914,0.7563116395099154,0.09607584892677139,5.339046961812342,"Feature1, Feature2, Feature16"
16,0.7099497724497723,0.11043300606917537,0.6578947368421051,0.1364592033868776,0.7550911588004494,0.10698913427577542,5.1740296339548015,"Feature1, Feature2, Feature16"
17,0.7090628815628817,0.10640576176874077,0.6736842105263158,0.11846977555181845,0.7685827272467984,0.09524727365022374,5.007134493910993,"Feature1, Feature2, Feature16"
18,0.7124136974136974,0.09923928003697333,0.6631578947368422,0.11423733751648915,0.7596958158637802,0.09848908201078176,4.853009310701926,"Feature1, Feature2, Feature16"
19,0.7176404151404151,0.11522161615121722,0.6789473684210525,0.11219843477417181,0.7726681529651496,0.09401957340897722,4.714408259682236,"Feature1, Feature2, Feature3"
20,0.7013863913863914,0.10954668875270962,0.668421052631579,0.11650496642725608,0.7632233988464825,0.10064085433313952,4.586461551120039,"Feature1, Feature2, Feature3"
