fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.7666666666666667,0.8287037037037037,0.8205128205128205,0.5833333333333334,0.8888888888888888,50.94719052314758
2,0.8,0.8068181818181819,0.8636363636363636,0.625,0.8636363636363636,45.558106422424316
3,0.7,0.73,0.8,0.3,0.9,45.27700138092041
4,0.5333333333333333,0.7239819004524888,0.65,0.23076923076923078,0.7647058823529411,45.26683855056763
5,0.8,0.783068783068783,0.8571428571428571,0.6666666666666666,0.8571428571428571,45.38837552070618
6,0.7241379310344828,0.8376623376623376,0.8,0.7142857142857143,0.7272727272727273,45.12037110328674
7,0.896551724137931,0.9263157894736842,0.918918918918919,0.9,0.8947368421052632,45.15449786186218
8,0.6551724137931034,0.7979797979797979,0.75,0.36363636363636365,0.8333333333333334,45.22582221031189
9,0.7241379310344828,0.8894230769230769,0.7647058823529411,0.6153846153846154,0.8125,45.16199350357056
10,0.8275862068965517,0.8894230769230769,0.8484848484848485,0.7692307692307693,0.875,45.215718030929565
