Feature,Rank
Feature2,1
Feature63,2
Feature46,3
Feature56,4
Feature61,5
Feature42,6
Feature5,7
Feature22,8
Feature43,9
Feature52,10
Feature27,11
Feature60,12
Feature49,13
Feature47,14
Feature58,15
Feature44,16
Feature32,17
Feature57,18
Feature59,19
Feature48,20
Feature23,21
Feature41,22
Feature25,23
Feature62,24
Feature21,25
Feature17,26
Feature3,27
Feature53,28
Feature30,29
Feature39,30
Feature26,31
Feature13,32
Feature55,33
Feature18,34
Feature51,35
Feature35,36
Feature29,37
Feature54,38
Feature14,39
Feature20,40
Feature8,41
Feature28,42
Feature45,43
Feature15,44
Feature50,45
Feature7,46
Feature38,47
Feature16,48
Feature19,49
Feature24,50
Feature11,51
Feature9,52
Feature31,53
Feature37,54
Feature10,55
Feature1,56
Feature6,57
Feature4,58
