n_features,features,test_acc,test_auc,test_f1,test_acc_0,test_acc_1,confusion_matrix
11,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27']",0.7105263157894737,0.6654769230769231,0.8028673835125448,0.35384615384615387,0.896,"[[23, 42], [13, 112]]"
12,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60']",0.6947368421052632,0.6578461538461539,0.7972027972027972,0.27692307692307694,0.912,"[[18, 47], [11, 114]]"
13,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49']",0.7052631578947368,0.6561846153846155,0.8014184397163121,0.3230769230769231,0.904,"[[21, 44], [12, 113]]"
36,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35']",0.7,0.6542769230769232,0.8067796610169492,0.2153846153846154,0.952,"[[14, 51], [6, 119]]"
16,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44']",0.7105263157894737,0.6523076923076923,0.8042704626334519,0.3384615384615385,0.904,"[[22, 43], [12, 113]]"
15,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58']",0.6789473684210526,0.6516923076923078,0.784452296819788,0.27692307692307694,0.888,"[[18, 47], [14, 111]]"
22,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41']",0.6842105263157895,0.6511384615384613,0.7986577181208053,0.16923076923076924,0.952,"[[11, 54], [6, 119]]"
20,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48']",0.6789473684210526,0.6466461538461539,0.7859649122807018,0.26153846153846155,0.896,"[[17, 48], [13, 112]]"
6,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42']",0.6789473684210526,0.6414769230769231,0.7813620071684588,0.3076923076923077,0.872,"[[20, 45], [16, 109]]"
14,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47']",0.6947368421052632,0.6412307692307692,0.7943262411347518,0.3076923076923077,0.896,"[[20, 45], [13, 112]]"
1,['Feature2'],0.6473684210526316,0.6397538461538461,0.7728813559322034,0.13846153846153847,0.912,"[[9, 56], [11, 114]]"
58,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29', 'Feature54', 'Feature14', 'Feature20', 'Feature8', 'Feature28', 'Feature45', 'Feature15', 'Feature50', 'Feature7', 'Feature38', 'Feature16', 'Feature19', 'Feature24', 'Feature11', 'Feature9', 'Feature31', 'Feature37', 'Feature10', 'Feature1', 'Feature6', 'Feature4']",0.6684210526315789,0.6382153846153846,0.7906976744186046,0.12307692307692308,0.952,"[[8, 57], [6, 119]]"
25,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21']",0.6578947368421053,0.6364307692307692,0.7719298245614035,0.23076923076923078,0.88,"[[15, 50], [15, 110]]"
10,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52']",0.6736842105263158,0.6361846153846153,0.7847222222222222,0.23076923076923078,0.904,"[[15, 50], [12, 113]]"
26,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17']",0.6789473684210526,0.6344,0.7829181494661922,0.2923076923076923,0.88,"[[19, 46], [15, 110]]"
49,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29', 'Feature54', 'Feature14', 'Feature20', 'Feature8', 'Feature28', 'Feature45', 'Feature15', 'Feature50', 'Feature7', 'Feature38', 'Feature16', 'Feature19']",0.6894736842105263,0.6335999999999999,0.7972508591065293,0.23076923076923078,0.928,"[[15, 50], [9, 116]]"
7,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5']",0.6631578947368421,0.6313846153846154,0.762962962962963,0.35384615384615387,0.824,"[[23, 42], [22, 103]]"
57,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29', 'Feature54', 'Feature14', 'Feature20', 'Feature8', 'Feature28', 'Feature45', 'Feature15', 'Feature50', 'Feature7', 'Feature38', 'Feature16', 'Feature19', 'Feature24', 'Feature11', 'Feature9', 'Feature31', 'Feature37', 'Feature10', 'Feature1', 'Feature6']",0.6736842105263158,0.6308923076923078,0.7891156462585034,0.18461538461538463,0.928,"[[12, 53], [9, 116]]"
18,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57']",0.6894736842105263,0.6267076923076923,0.794425087108014,0.26153846153846155,0.912,"[[17, 48], [11, 114]]"
