fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.7333333333333333,0.8703703703703703,0.8,0.5,0.8888888888888888,25.584968090057373
2,0.8333333333333334,0.8295454545454546,0.8936170212765957,0.5,0.9545454545454546,20.54526925086975
3,0.7,0.71,0.8,0.3,0.9,24.277457237243652
4,0.6333333333333333,0.7375565610859728,0.7317073170731707,0.3076923076923077,0.8823529411764706,23.148338317871094
5,0.7666666666666667,0.8042328042328042,0.8372093023255814,0.5555555555555556,0.8571428571428571,25.053223371505737
6,0.6551724137931034,0.7857142857142857,0.7368421052631579,0.7142857142857143,0.6363636363636364,20.809423685073853
7,0.6896551724137931,0.8736842105263158,0.7692307692307693,0.5,0.7894736842105263,25.513298511505127
8,0.6896551724137931,0.7878787878787878,0.7692307692307693,0.45454545454545453,0.8333333333333334,24.532262563705444
9,0.7586206896551724,0.8557692307692307,0.7878787878787878,0.6923076923076923,0.8125,24.231645107269287
10,0.7931034482758621,0.8846153846153847,0.8125,0.7692307692307693,0.8125,21.747162342071533
