fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.5510204081632653,0.6413793103448275,0.6764705882352942,0.2,0.7931034482758621,314.16592955589294
2,0.6938775510204082,0.7253787878787878,0.8051948051948052,0.1875,0.9393939393939394,239.40925526618958
3,0.6938775510204082,0.6196172248803827,0.8051948051948052,0.2727272727272727,0.8157894736842105,239.93447828292847
4,0.7142857142857143,0.8551724137931034,0.8,0.35,0.9655172413793104,209.5186595916748
5,0.7755102040816326,0.8658088235294118,0.8450704225352113,0.47058823529411764,0.9375,235.03069424629211
6,0.6666666666666666,0.7477313974591652,0.7241379310344828,0.5789473684210527,0.7241379310344828,209.76186513900757
7,0.6875,0.7546296296296297,0.7887323943661971,0.4166666666666667,0.7777777777777778,239.81908702850342
8,0.7291666666666666,0.7077798861480076,0.8115942028985508,0.4117647058823529,0.9032258064516129,209.7586371898651
9,0.6458333333333334,0.7232142857142858,0.711864406779661,0.5,0.75,267.3111717700958
10,0.75,0.8058076225045372,0.8125,0.5263157894736842,0.896551724137931,255.27428197860718
