fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.6333333333333333,0.736111111111111,0.717948717948718,0.4166666666666667,0.7777777777777778,254.4121232032776
2,0.8,0.8011363636363635,0.8695652173913043,0.5,0.9090909090909091,236.97633600234985
3,0.6666666666666666,0.705,0.7727272727272727,0.3,0.85,238.10442996025085
4,0.7,0.8009049773755655,0.7692307692307693,0.46153846153846156,0.8823529411764706,238.63268041610718
5,0.7333333333333333,0.7513227513227514,0.8,0.6666666666666666,0.7619047619047619,304.80397605895996
6,0.7586206896551724,0.8441558441558441,0.8292682926829268,0.7142857142857143,0.7727272727272727,169.06415033340454
7,0.8275862068965517,0.8842105263157894,0.8717948717948718,0.7,0.8947368421052632,200.92300009727478
8,0.6551724137931034,0.8282828282828283,0.7619047619047619,0.2727272727272727,0.8888888888888888,243.05573344230652
9,0.7931034482758621,0.9182692307692308,0.8235294117647058,0.6923076923076923,0.875,270.65294885635376
10,0.8620689655172413,0.8846153846153846,0.8888888888888888,0.6923076923076923,1.0,169.90380883216858
