fold,accuracy,auc,f1,acc_0,acc_1,train_time
1,0.5333333333333333,0.6898148148148148,0.65,0.25,0.7222222222222222,57.51729464530945
2,0.7666666666666667,0.8409090909090909,0.8571428571428571,0.25,0.9545454545454546,55.86586284637451
3,0.7333333333333333,0.6950000000000001,0.8260869565217391,0.3,0.95,55.485780000686646
4,0.6,0.7058823529411765,0.6666666666666666,0.46153846153846156,0.7058823529411765,55.76839852333069
5,0.6666666666666666,0.761904761904762,0.7727272727272727,0.3333333333333333,0.8095238095238095,55.8719642162323
6,0.6206896551724138,0.7337662337662337,0.717948717948718,0.5714285714285714,0.6363636363636364,55.71252369880676
7,0.7931034482758621,0.8789473684210527,0.8421052631578947,0.7,0.8421052631578947,56.06735944747925
8,0.6551724137931034,0.7828282828282829,0.7368421052631579,0.45454545454545453,0.7777777777777778,55.914719343185425
9,0.7586206896551724,0.8846153846153846,0.8108108108108109,0.5384615384615384,0.9375,55.972508907318115
10,0.7586206896551724,0.8701923076923077,0.8,0.6153846153846154,0.875,56.19274353981018
