fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.6451612903225806,0.6863636363636363,0.7843137254901961,0.0,1.0,209.9087176322937
2,0.6774193548387096,0.6545454545454545,0.8,0.09090909090909091,1.0,220.15888285636902
3,0.7096774193548387,0.6454545454545455,0.8163265306122449,0.18181818181818182,1.0,221.20040822029114
4,0.5806451612903226,0.7606837606837606,0.7346938775510204,0.0,1.0,250.19158029556274
5,0.4666666666666667,0.7330316742081449,0.6190476190476191,0.058823529411764705,1.0,228.15448880195618
6,0.7666666666666667,0.5608465608465608,0.8571428571428571,0.2222222222222222,1.0,206.42854762077332
7,0.5,0.416267942583732,0.6511627906976745,0.09090909090909091,0.7368421052631579,199.5205466747284
8,0.6,0.5215311004784688,0.7272727272727273,0.18181818181818182,0.8421052631578947,274.39399909973145
9,0.6,0.51,0.7391304347826086,0.1,0.85,252.52229976654053
10,0.4666666666666667,0.7155555555555555,0.6363636363636364,0.0,0.9333333333333333,281.0510103702545
