Feature,SHAP_Value,Abs_SHAP_Value
Feature2,0.04253386209408445,0.04253386209408445
Feature1,-0.03315223753452301,0.03315223753452301
Feature58,-0.02356483538945517,0.02356483538945517
Feature45,-0.02218107630809149,0.02218107630809149
Feature6,-0.021844826638698578,0.021844826638698578
Feature39,-0.021611762543519333,0.021611762543519333
Feature3,-0.01954251279433567,0.01954251279433567
Feature56,0.018332819143931076,0.018332819143931076
Feature50,-0.017269448687632867,0.017269448687632867
Feature54,-0.016275621950626373,0.016275621950626373
Feature57,0.015307170649369553,0.015307170649369553
Feature44,-0.014752231538295732,0.014752231538295732
Feature49,0.014539495110511787,0.014539495110511787
Feature53,-0.013097032904624946,0.013097032904624946
Feature46,-0.012470439076423652,0.012470439076423652
Feature55,-0.012257342537244156,0.012257342537244156
Feature4,-0.011857206622759506,0.011857206622759506
Feature28,0.01131548235813775,0.01131548235813775
Feature10,-0.010031476616859443,0.010031476616859443
Feature51,-0.008839902778466524,0.008839902778466524
Feature60,-0.007336611549059527,0.007336611549059527
Feature27,-0.007278511921564729,0.007278511921564729
Feature5,-0.007274848719437926,0.007274848719437926
Feature63,0.006537054975827558,0.006537054975827558
Feature59,-0.005719112853209182,0.005719112853209182
Feature52,0.004390848179658263,0.004390848179658263
Feature23,0.004366735617319761,0.004366735617319761
Feature47,-0.0035503755013147897,0.0035503755013147897
Feature14,-0.0033068234721819537,0.0033068234721819537
Feature25,-0.0031530410051345756,0.0031530410051345756
Feature17,0.0029740072786807667,0.0029740072786807667
Feature8,0.0029566610852877206,0.0029566610852877206
Feature13,-0.0029093051950137006,0.0029093051950137006
Feature9,-0.002242306868235275,0.002242306868235275
Feature11,0.002084727088610329,0.002084727088610329
Feature22,0.001966183384259551,0.001966183384259551
Feature26,-0.0015981495380401611,0.0015981495380401611
Feature19,-0.0015795603394508431,0.0015795603394508431
Feature15,-0.0013293425242106305,0.0013293425242106305
Feature31,0.0009931822617848668,0.0009931822617848668
Feature29,0.0008324384689331124,0.0008324384689331124
Feature16,-0.0008304541309674535,0.0008304541309674535
Feature7,0.000788400570551552,0.000788400570551552
Feature24,-0.0007788290580113821,0.0007788290580113821
Feature35,-0.0007642507553100933,0.0007642507553100933
Feature20,0.0007437070210774693,0.0007437070210774693
Feature48,-0.0003862529993057112,0.0003862529993057112
Feature37,0.00033666690190634063,0.00033666690190634063
Feature61,-0.0003089110056559291,0.0003089110056559291
Feature21,-0.0002083182334900041,0.0002083182334900041
Feature18,-0.00017291307449342208,0.00017291307449342208
Feature30,0.0001467044154802727,0.0001467044154802727
Feature38,0.0,0.0
Feature42,0.0,0.0
Feature32,0.0,0.0
Feature41,0.0,0.0
Feature62,0.0,0.0
Feature43,0.0,0.0
