fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.5,0.5428571428571428,0.625,0.2,0.7142857142857143,180.75720858573914
2,0.5,0.5555555555555556,0.6666666666666666,0.0,1.0,255.5899622440338
3,0.4166666666666667,0.33333333333333337,0.5333333333333333,0.16666666666666666,0.6666666666666666,208.4610950946808
4,0.6666666666666666,0.59375,0.7777777777777778,0.25,0.875,208.3212661743164
5,0.36363636363636365,0.4642857142857143,0.5333333333333333,0.0,0.5714285714285714,208.3708553314209
6,0.45454545454545453,0.5357142857142857,0.4,0.75,0.2857142857142857,181.94706869125366
7,0.2727272727272727,0.10714285714285718,0.42857142857142855,0.0,0.75,237.15593266487122
8,0.7272727272727273,0.7,0.8,0.4,1.0,187.80832481384277
9,0.5454545454545454,0.39999999999999997,0.7058823529411765,0.0,1.0,211.1326184272766
10,0.2727272727272727,0.375,0.42857142857142855,0.0,1.0,204.3039140701294
