fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.7894736842105263,0.8333333333333333,0.875,0.25,0.9333333333333333,230.0440490245819
2,0.631578947368421,0.6923076923076923,0.7741935483870968,0.0,0.9230769230769231,169.03710007667542
3,0.5789473684210527,0.576923076923077,0.7142857142857143,0.16666666666666666,0.7692307692307693,262.4431149959564
4,0.5263157894736842,0.45238095238095233,0.6896551724137931,0.0,0.8333333333333334,196.1348898410797
5,0.5789473684210527,0.6704545454545454,0.7333333333333333,0.0,1.0,168.84824681282043
6,0.7368421052631579,0.6142857142857143,0.8484848484848485,0.0,1.0,305.8384268283844
7,0.47368421052631576,0.6111111111111112,0.6153846153846154,0.1111111111111111,0.8,198.03300380706787
8,0.6842105263157895,0.6153846153846154,0.8125,0.0,1.0,205.14131784439087
9,0.5789473684210527,0.6777777777777778,0.7142857142857143,0.1111111111111111,1.0,263.85254168510437
10,0.7368421052631579,0.7857142857142857,0.8484848484848485,0.0,1.0,230.88968563079834
