Feature,Importance,Rank
Feature52,0.03687963590535405,1
Feature2,0.031245804940014745,2
Feature49,0.02253231243286551,3
Feature61,0.017446631580716663,4
Feature56,0.016274311630110255,5
Feature1,0.010669409154972217,6
Feature57,0.010032530472456128,7
Feature41,0.008816951714968036,8
Feature54,0.008540655879700298,9
Feature32,0.008209124293946761,10
Feature23,0.008091734643109652,11
Feature26,0.0077871336010818595,12
Feature44,0.007468122125628643,13
Feature53,0.007283051079114697,14
Feature43,0.006931565304391611,15
Feature45,0.006080915288721212,16
Feature39,0.0059908826186817685,17
Feature28,0.005230877666825504,18
Feature55,0.005089850704049008,19
Feature50,0.004796593819421152,20
Feature25,0.004692330858542928,21
Feature17,0.004503295674827279,22
Feature3,0.0044468007275027715,23
Feature58,0.004361151681903734,24
Feature29,0.004308351269390064,25
Feature63,0.004157839206502162,26
Feature62,0.003980552959433377,27
Feature47,0.0038536404733170234,28
Feature21,0.003620828284604051,29
Feature42,0.0035996356217242644,30
Feature37,0.0035874814145170617,31
Feature14,0.003560731494206166,32
Feature30,0.003442493556128761,33
Feature6,0.003256401802318836,34
Feature46,0.0029496399618633346,35
Feature51,0.0028715263023978664,36
Feature19,0.002651147424658534,37
Feature27,0.0026193645877943634,38
Feature4,0.0024238837186345715,39
Feature48,0.002164748656088732,40
Feature38,0.0021600158603573226,41
Feature5,0.0021009633124645473,42
Feature59,0.0020230622440048215,43
Feature24,0.0018944230880848262,44
Feature10,0.0017274798810011714,45
Feature7,0.001696784568168062,46
Feature18,0.0016234955401245887,47
Feature9,0.0012597380319327427,48
Feature8,0.0012477266822094506,49
Feature16,0.0012036140511323002,50
Feature15,0.0011750305508232252,51
Feature31,0.001174966544023299,52
Feature13,0.001133832506415785,53
Feature20,0.0010979460417987084,54
Feature35,0.0010955726778728268,55
Feature11,0.0009236824737830834,56
Feature22,0.0007546939393900999,57
Feature60,0.0007143001045457393,58
