fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.5,0.675925925925926,0.6153846153846154,0.25,0.6666666666666666,124.97753310203552
2,0.7666666666666667,0.8806818181818181,0.851063829787234,0.375,0.9090909090909091,114.15162134170532
3,0.6333333333333333,0.6799999999999999,0.7441860465116279,0.3,0.8,86.75816893577576
4,0.6,0.6832579185520361,0.6842105263157895,0.38461538461538464,0.7647058823529411,87.73664736747742
5,0.6666666666666666,0.7777777777777778,0.782608695652174,0.2222222222222222,0.8571428571428571,59.82450723648071
6,0.6551724137931034,0.6883116883116883,0.7619047619047619,0.42857142857142855,0.7272727272727273,86.42992806434631
7,0.7931034482758621,0.8736842105263158,0.8421052631578947,0.7,0.8421052631578947,115.57559061050415
8,0.6551724137931034,0.787878787878788,0.75,0.36363636363636365,0.8333333333333334,115.73685383796692
9,0.7586206896551724,0.9134615384615384,0.8108108108108109,0.5384615384615384,0.9375,114.34979104995728
10,0.7931034482758621,0.8798076923076923,0.8235294117647058,0.6923076923076923,0.875,115.22731256484985
