fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.4,0.513888888888889,0.0,1.0,0.0,0.0002002716064453125
2,0.26666666666666666,0.5340909090909091,0.0,1.0,0.0,0.0001823902130126953
3,0.3333333333333333,0.61,0.0,1.0,0.0,0.0001823902130126953
4,0.43333333333333335,0.5656108597285068,0.0,1.0,0.0,0.0001800060272216797
5,0.3,0.4920634920634921,0.0,1.0,0.0,0.00018215179443359375
6,0.2413793103448276,0.7954545454545454,0.0,1.0,0.0,0.0001823902130126953
7,0.3448275862068966,0.7,0.0,1.0,0.0,0.00018167495727539062
8,0.3793103448275862,0.505050505050505,0.0,1.0,0.0,0.0001876354217529297
9,0.4482758620689655,0.735576923076923,0.0,1.0,0.0,0.0001811981201171875
10,0.4482758620689655,0.5673076923076923,0.0,1.0,0.0,0.00018978118896484375
