fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.5,0.5324074074074074,0.6341463414634146,0.16666666666666666,0.7222222222222222,0.0002162456512451172
2,0.7333333333333333,0.5795454545454546,0.8181818181818182,0.5,0.8181818181818182,0.00018405914306640625
3,0.6333333333333333,0.55,0.7441860465116279,0.3,0.8,0.00018143653869628906
4,0.5,0.45248868778280543,0.5945945945945946,0.3076923076923077,0.6470588235294118,0.00018453598022460938
5,0.7333333333333333,0.582010582010582,0.8333333333333334,0.2222222222222222,0.9523809523809523,0.00018143653869628906
6,0.8275862068965517,0.8538961038961039,0.8888888888888888,0.5714285714285714,0.9090909090909091,0.00018715858459472656
7,0.7586206896551724,0.7894736842105263,0.8205128205128205,0.6,0.8421052631578947,0.00018167495727539062
8,0.6896551724137931,0.5858585858585859,0.7804878048780488,0.36363636363636365,0.8888888888888888,0.00019288063049316406
9,0.7241379310344828,0.8365384615384615,0.7777777777777778,0.5384615384615384,0.875,0.00018024444580078125
10,0.6896551724137931,0.7596153846153847,0.7567567567567568,0.46153846153846156,0.875,0.00018548965454101562
