fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.7894736842105263,0.75,0.875,0.25,0.9333333333333333,109.0348801612854
2,0.5789473684210527,0.6666666666666667,0.7333333333333333,0.0,0.8461538461538461,109.70742392539978
3,0.6842105263157895,0.7307692307692308,0.8125,0.0,1.0,108.91225552558899
4,0.47368421052631576,0.4761904761904763,0.6428571428571429,0.0,0.75,82.744699716568
5,0.631578947368421,0.5568181818181819,0.7407407407407407,0.25,0.9090909090909091,82.37938451766968
6,0.7368421052631579,0.6714285714285714,0.8484848484848485,0.0,1.0,109.44947624206543
7,0.42105263157894735,0.6333333333333333,0.56,0.1111111111111111,0.7,81.9185118675232
8,0.631578947368421,0.4358974358974359,0.7741935483870968,0.0,0.9230769230769231,109.50694513320923
9,0.631578947368421,0.6,0.7407407407407407,0.2222222222222222,1.0,55.0411491394043
10,0.7368421052631579,0.8142857142857143,0.8484848484848485,0.0,1.0,109.21580052375793
