fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.21052631578947367,0.8166666666666667,0.0,1.0,0.0,0.00022530555725097656
2,0.3157894736842105,0.21794871794871795,0.0,1.0,0.0,0.00018334388732910156
3,0.3157894736842105,0.7435897435897435,0.0,1.0,0.0,0.0001819133758544922
4,0.3684210526315789,0.3333333333333333,0.0,1.0,0.0,0.00018286705017089844
5,0.42105263157894735,0.7045454545454546,0.0,1.0,0.0,0.00018072128295898438
6,0.2631578947368421,0.47142857142857136,0.0,1.0,0.0,0.00017976760864257812
7,0.47368421052631576,0.6444444444444445,0.0,1.0,0.0,0.00018453598022460938
8,0.3157894736842105,0.3717948717948718,0.0,1.0,0.0,0.00018095970153808594
9,0.47368421052631576,0.8,0.0,1.0,0.0,0.00018548965454101562
10,0.2631578947368421,0.42857142857142855,0.0,1.0,0.0,0.00018095970153808594
