fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.8421052631578947,0.8666666666666667,0.8888888888888888,1.0,0.8,0.0002181529998779297
2,0.6842105263157895,0.6794871794871796,0.7857142857142857,0.3333333333333333,0.8461538461538461,0.00018095970153808594
3,0.8947368421052632,0.8205128205128206,0.9285714285714286,0.6666666666666666,1.0,0.00017762184143066406
4,0.5789473684210527,0.5357142857142857,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.00018072128295898438
5,0.5263157894736842,0.48863636363636365,0.64,0.25,0.7272727272727273,0.0001780986785888672
6,0.7894736842105263,0.39999999999999997,0.875,0.2,1.0,0.00018715858459472656
7,0.631578947368421,0.6333333333333333,0.72,0.3333333333333333,0.9,0.0001785755157470703
8,0.5789473684210527,0.4102564102564103,0.7142857142857143,0.16666666666666666,0.7692307692307693,0.00018143653869628906
9,0.6842105263157895,0.7999999999999999,0.75,0.4444444444444444,0.9,0.00017786026000976562
10,0.7368421052631579,0.6857142857142857,0.8275862068965517,0.4,0.8571428571428571,0.00018334388732910156
