fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.5833333333333334,0.5428571428571428,0.7058823529411765,0.2,0.8571428571428571,53.97370433807373
2,0.5,0.5277777777777778,0.6666666666666666,0.0,1.0,76.00652122497559
3,0.4166666666666667,0.3055555555555556,0.5333333333333333,0.16666666666666666,0.6666666666666666,82.57289600372314
4,0.5833333333333334,0.53125,0.6666666666666666,0.5,0.625,103.4340832233429
5,0.45454545454545453,0.39285714285714285,0.5714285714285714,0.25,0.5714285714285714,82.76211833953857
6,0.45454545454545453,0.46428571428571425,0.5,0.5,0.42857142857142855,76.26095008850098
7,0.2727272727272727,0.14285714285714288,0.42857142857142855,0.0,0.75,103.93105506896973
8,0.5454545454545454,0.8666666666666667,0.7058823529411765,0.0,1.0,55.05143618583679
9,0.5454545454545454,0.6666666666666666,0.7058823529411765,0.0,1.0,75.9776120185852
10,0.2727272727272727,0.3333333333333333,0.42857142857142855,0.0,1.0,82.7012095451355
