fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.4166666666666667,0.39999999999999997,0.0,1.0,0.0,0.00020503997802734375
2,0.5,0.7222222222222222,0.0,1.0,0.0,0.00018310546875
3,0.5,0.5833333333333334,0.0,1.0,0.0,0.0001857280731201172
4,0.3333333333333333,0.78125,0.0,1.0,0.0,0.0001811981201171875
5,0.36363636363636365,0.6428571428571428,0.0,1.0,0.0,0.00018286705017089844
6,0.36363636363636365,0.5,0.0,1.0,0.0,0.00018262863159179688
7,0.6363636363636364,0.6071428571428572,0.0,1.0,0.0,0.00018095970153808594
8,0.45454545454545453,0.7333333333333333,0.0,1.0,0.0,0.0001850128173828125
9,0.45454545454545453,0.4666666666666666,0.0,1.0,0.0,0.00018072128295898438
10,0.7272727272727273,0.16666666666666666,0.0,1.0,0.0,0.00017786026000976562
