fold,accuracy,auc,f1,acc_0,acc_1,time
1,0.4166666666666667,0.17142857142857143,0.5333333333333333,0.2,0.5714285714285714,0.0002186298370361328
2,0.75,0.8611111111111112,0.7692307692307693,0.6666666666666666,0.8333333333333334,0.00018715858459472656
3,0.5833333333333334,0.6388888888888888,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.00018143653869628906
4,0.75,0.75,0.8235294117647058,0.5,0.875,0.0001804828643798828
5,0.5454545454545454,0.5357142857142857,0.6153846153846154,0.5,0.5714285714285714,0.00017952919006347656
6,0.5454545454545454,0.2142857142857143,0.7058823529411765,0.0,0.8571428571428571,0.00017905235290527344
7,0.45454545454545453,0.4642857142857143,0.5714285714285714,0.14285714285714285,1.0,0.000179290771484375
8,0.8181818181818182,0.9,0.8571428571428571,0.6,1.0,0.0001785755157470703
9,0.2727272727272727,0.2666666666666666,0.3333333333333333,0.2,0.3333333333333333,0.00019073486328125
10,0.36363636363636365,0.375,0.2222222222222222,0.375,0.3333333333333333,0.0001785755157470703
