Feature,Importance,Rank
Feature40,0.26111548613780416,1
Feature63,0.10556580331461272,2
Feature60,0.051433109577736516,3
Feature46,0.04595517736620366,4
Feature2,0.041736797408264865,5
Feature61,0.03287632590306483,6
Feature39,0.025848024622244704,7
Feature43,0.018751034422119263,8
Feature3,0.016623040718166053,9
Feature57,0.009098552436072308,10
Feature5,0.00867742791601038,11
Feature56,0.008322794578447023,12
Feature47,0.007922466975553521,13
Feature1,0.007586318777918066,14
Feature42,0.006222532527882143,15
Feature50,0.0057575198669752884,16
Feature48,0.005108361784894925,17
Feature27,0.004673946940706255,18
Feature62,0.0040786844520681355,19
Feature25,0.004035619938366634,20
Feature49,0.003515843075448465,21
Feature53,0.0035074195459648444,22
Feature58,0.0034090831929037184,23
Feature44,0.003267932828081216,24
Feature10,0.003067677959443209,25
Feature45,0.003016066174470102,26
Feature59,0.002882595664591595,27
Feature17,0.002438368802551573,28
Feature9,0.0024350531836900453,29
Feature52,0.002410082847880303,30
Feature22,0.0024032919067516786,31
Feature19,0.0022854013148733577,32
Feature30,0.0022438131631827125,33
Feature37,0.0022418713695426915,34
Feature55,0.002234571785769733,35
Feature54,0.002222542258845532,36
Feature36,0.0020318104696406517,37
Feature29,0.0019138439222006478,38
Feature51,0.0018562288195310768,39
Feature8,0.0017888408467475647,40
Feature11,0.001700349527836121,41
Feature6,0.0014356222776241065,42
Feature23,0.0013598488255637006,43
Feature14,0.0013308459307890747,44
Feature33,0.0013184259119779437,45
Feature32,0.00131832485249091,46
Feature13,0.0011641093145656094,47
Feature24,0.0011211672544618014,48
Feature34,0.0010953330911198235,49
Feature38,0.0010167730903459088,50
Feature41,0.000995688751369627,51
Feature31,0.000956700713645779,52
Feature28,0.0009338036451913415,53
Feature7,0.0009336022046682804,54
Feature18,0.0009083120847518885,55
Feature26,0.0008871424565603691,56
Feature15,0.000693372314274013,57
Feature21,0.0005669093632933757,58
Feature12,0.0005578803819015862,59
Feature4,0.0005437078851378226,60
Feature16,0.0003774885252865944,61
Feature20,0.000294002945432434,62
Feature35,5.0883709235459594e-05,63
