Feature,Importance,Rank
Feature1,0.026528666783934052,1
Feature3,0.007324000406339299,2
Feature15,0.006571211457622717,3
Feature45,0.005310021331591634,4
Feature39,0.002515401668059903,5
Feature50,0.0021610599126875027,6
Feature56,0.0017933397004322965,7
Feature57,0.001759440641595709,8
Feature14,0.0014508844532581584,9
Feature5,0.0012392986172474671,10
Feature42,0.0012022268327867046,11
Feature52,0.0011817395779657105,12
Feature22,0.001129163079750462,13
Feature53,0.0009602847306624711,14
Feature43,0.0009284774801745911,15
Feature49,0.0009137809461688425,16
Feature2,0.0008561828676958281,17
Feature48,0.000787364797932763,18
Feature63,0.0007472530377577593,19
Feature17,0.0006326705032253887,20
Feature46,0.0006022693392652928,21
Feature4,0.0005699493129801332,22
Feature47,0.0005145462866155287,23
