Feature,KL Before,Wasserstein Before
Feature1,0.006302606857034574,0.1140255336240256
Feature2,0.1929712800049003,0.12790535241908316
Feature3,0.13869485113515037,0.48947640446996393
Feature4,0.03674533320180613,0.23417761227927883
Feature5,0.0003310364139873564,0.026626347655648953
Feature14,0.3329416929114757,0.22276068455243037
Feature15,0.1041748190742337,0.19613768951673424
Feature17,0.24583380349396705,0.3251915516305104
Feature22,0.18896408789072724,0.20416148475612417
Feature39,0.14976077837351123,0.3593740653750667
Feature42,0.5295078938058525,0.28790833586465603
Feature43,0.22925537332807797,0.27899476827776404
Feature45,0.055075485803091434,0.32222716388542366
Feature46,0.043511293072282985,0.298309738468027
Feature47,1.7694949902808852,0.679991154502203
Feature48,0.7545435706756854,0.7328258492118938
Feature49,0.06737780338757952,0.3668492144511736
Feature50,0.0019741387357679312,0.057911658445154675
Feature52,0.029627253431483813,0.25474622909058464
Feature53,0.10934719979002616,0.42889714794013206
Feature56,0.23928316118529674,0.13197453838079634
Feature57,0.16223787961007657,0.14025639068522522
Feature63,9.19231093386031e-05,0.01354178323458316
