Feature,KL Before,Wasserstein Before
Feature1,0.0407390791724629,0.2943580378401406
Feature2,0.39270218152121844,0.15225940032298282
Feature3,0.013407216013349432,0.16178520982297853
Feature4,0.006480561466371049,0.11936586582915115
Feature5,0.03357151725855312,0.34285745065682766
Feature14,0.28392904680550995,0.24555037718139813
Feature15,0.4781644151771947,0.13339918120763902
Feature17,0.14294344251818536,0.19909148149827227
Feature22,0.40217246350400404,0.2510509562274231
Feature39,0.6980553305706751,0.6207979140499438
Feature42,0.27724300843131744,0.1361984759201447
Feature43,0.47529485384843567,0.20201946982562663
Feature45,0.009371965690030237,0.13587533450319322
Feature46,0.002422798396851708,0.0682654383295162
Feature47,0.16067525572745028,0.09127240787755572
Feature48,0.17669724338300014,0.09306680936714547
Feature49,0.10187465468336095,0.448125032248764
Feature50,0.0027672452995521363,0.08098215652493222
Feature52,0.0007030639400524528,0.037817996895921704
Feature53,0.026137976161648924,0.22147967475596977
Feature56,0.4791486993351709,0.5114339300611166
Feature57,0.380955439736357,0.3322028438971653
Feature63,0.02252048562400724,0.21473399129124923
