Feature,Rank
Feature3,1
Feature45,2
Feature47,3
Feature17,4
Feature23,5
Feature5,6
Feature21,7
Feature58,8
Feature20,9
Feature12,10
Feature53,11
Feature38,12
Feature8,13
Feature14,14
Feature60,15
Feature33,16
Feature7,17
Feature18,18
Feature55,19
Feature25,20
Feature57,21
Feature46,22
Feature54,23
Feature51,24
Feature36,25
Feature9,26
Feature35,27
Feature34,28
Feature61,29
Feature43,30
Feature30,31
Feature29,32
Feature39,33
Feature22,34
Feature15,35
Feature50,36
Feature6,37
Feature42,38
Feature63,39
Feature49,40
Feature13,41
Feature27,42
Feature59,43
Feature4,44
Feature41,45
Feature37,46
Feature24,47
Feature44,48
Feature19,49
Feature16,50
Feature48,51
Feature62,52
Feature52,53
Feature26,54
Feature28,55
Feature11,56
Feature40,57
Feature2,58
Feature31,59
Feature32,60
Feature10,61
Feature1,62
Feature56,63
