Feature,Rank
Feature63,1
Feature2,1
Feature46,1
Feature61,2
Feature40,3
Feature56,4
Feature42,5
Feature39,6
Feature43,7
Feature1,8
Feature48,9
Feature62,10
Feature22,11
Feature5,12
Feature44,13
Feature49,14
Feature60,15
Feature32,16
Feature17,17
Feature55,18
Feature57,19
Feature29,20
Feature52,21
Feature38,22
Feature47,23
Feature25,24
Feature58,25
Feature59,26
Feature23,27
Feature12,28
Feature36,29
Feature27,30
Feature35,31
Feature19,32
Feature26,33
Feature3,34
Feature14,35
Feature51,36
Feature20,37
Feature24,38
Feature7,39
Feature53,40
Feature45,41
Feature37,42
Feature54,43
Feature30,44
Feature33,45
Feature34,46
Feature4,47
Feature18,48
Feature28,49
Feature50,50
Feature10,51
Feature11,52
Feature16,53
Feature31,54
Feature15,55
Feature41,56
Feature9,57
Feature8,58
Feature13,59
Feature6,60
Feature21,61
