Feature,Rank
Feature63,1
Feature2,1
Feature46,1
Feature56,2
Feature61,3
Feature42,4
Feature43,5
Feature5,6
Feature49,7
Feature32,8
Feature57,9
Feature22,10
Feature27,11
Feature47,12
Feature55,13
Feature60,14
Feature29,15
Feature17,16
Feature62,17
Feature44,18
Feature48,19
Feature1,20
Feature52,21
Feature25,22
Feature38,23
Feature58,24
Feature54,25
Feature7,26
Feature14,27
Feature59,28
Feature45,29
Feature23,30
Feature18,31
Feature39,32
Feature16,33
Feature21,34
Feature35,35
Feature31,36
Feature8,37
Feature9,38
Feature30,39
Feature24,40
Feature53,41
Feature20,42
Feature28,43
Feature4,44
Feature26,45
Feature3,46
Feature51,47
Feature15,48
Feature10,49
Feature37,50
Feature13,51
Feature19,52
Feature50,53
Feature6,54
Feature11,55
Feature41,56
