n_features,features,mean_accuracy,mean_auc,mean_f1,mean_acc_0,mean_acc_1,mean_time,std_accuracy,std_auc,std_f1,std_acc_0,std_acc_1,std_time
3,"Feature63, Feature2, Feature46",0.6989655172413792,0.7799701161411688,0.7803296385541064,0.4595992895992896,0.8438108808116548,15.825784420967102,0.09935111179008126,0.09500294335763021,0.07611290923883134,0.22312577974700948,0.08990101677002392,0.046266517059984705
4,"Feature63, Feature2, Feature46, Feature56",0.7054022988505747,0.774095188809585,0.7828334780324511,0.4501304251304251,0.8487349333672863,15.758435940742492,0.09395389924310338,0.09274164154690681,0.07721572300649442,0.13728209061705604,0.11391241710313711,0.07158446694738008
5,"Feature63, Feature2, Feature46, Feature56, Feature61",0.7191954022988505,0.7941215561757358,0.7931170895938416,0.48726717726717733,0.8489223951143454,15.94323000907898,0.06040784886518001,0.07634294199880705,0.047547722862237775,0.13584827087272158,0.06410225413976753,0.07768702200526961
6,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42",0.7224137931034483,0.8116030348793508,0.7930238765618516,0.5228563103563103,0.8385582271185985,15.974631142616271,0.05455654831394514,0.05472272449979014,0.04272994378014787,0.15151810124958737,0.06532271988147524,0.06492229222066757
7,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42, Feature43",0.7494252873563219,0.8225779455895553,0.809947265112258,0.5834332334332334,0.8425153402668883,16.0020441532135,0.04423122324546241,0.05372273047336993,0.03735569659103982,0.14349275479821716,0.06271467689265155,0.06163020779018777
8,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42, Feature43, Feature5",0.7594252873563219,0.8278202931113148,0.8165018607123871,0.6079087579087579,0.842014087134056,16.055397605895998,0.04321915504337744,0.052952666872906916,0.03438926795417474,0.13779626386793725,0.054364106708799514,0.09156180431148683
9,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42, Feature43, Feature5, Feature49",0.7629885057471264,0.8346544079701974,0.8182594572533599,0.6257622932622933,0.841027245028793,16.12546887397766,0.06324931323150347,0.05244124572342138,0.05055171491965149,0.1794208526117464,0.061871118775779936,0.06069857304787028
10,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42, Feature43, Feature5, Feature49, Feature32",0.7562068965517242,0.827596501537678,0.8135190821252202,0.5981962481962482,0.8425153402668883,16.241255593299865,0.04595818580099928,0.05159751150114917,0.03973204315882788,0.12235266874529802,0.07473970336931472,0.07781863687954733
11,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42, Feature43, Feature5, Feature49, Feature32, Feature57",0.7457471264367816,0.8286826663475271,0.8044728097701244,0.5944899544899546,0.825446626816596,16.349382734298707,0.03459674646408798,0.049982493445666194,0.02786252979868913,0.13638726836738005,0.06467343889461,0.06449984734243723
12,"Feature63, Feature2, Feature46, Feature56, Feature61, Feature42, Feature43, Feature5, Feature49, Feature32, Feature57, Feature22",0.725632183908046,0.8293903171991408,0.7893531975768819,0.5714130314130313,0.810082458820849,16.718661904335022,0.0423296052612065,0.05759734300297121,0.035005401672915784,0.13740349907714372,0.06095466504518233,0.08546408881629075
