Feature,Rank
Feature63,1
Feature2,1
Feature46,1
Feature56,2
Feature61,3
Feature42,4
Feature43,5
Feature5,6
Feature48,7
Feature49,8
Feature22,9
Feature27,10
Feature59,11
Feature32,12
Feature57,13
Feature52,14
Feature55,15
Feature58,16
Feature44,17
Feature23,18
Feature47,19
Feature17,20
Feature29,21
Feature1,22
Feature14,23
Feature25,24
Feature7,25
Feature60,26
Feature62,27
Feature8,28
Feature39,29
Feature20,30
Feature21,31
Feature28,32
Feature24,33
Feature38,34
Feature9,35
Feature18,36
Feature53,37
Feature45,38
Feature37,39
Feature3,40
Feature4,41
Feature26,42
Feature50,43
Feature19,44
Feature51,45
Feature15,46
Feature31,47
Feature54,48
Feature41,49
Feature11,50
Feature6,51
Feature35,52
Feature30,53
Feature16,54
Feature10,55
Feature13,56
