Feature,Rank
Feature63,1
Feature2,1
Feature46,1
Feature57,2
Feature61,3
Feature42,4
Feature43,5
Feature5,6
Feature49,7
Feature48,8
Feature22,9
Feature56,10
Feature32,11
Feature17,12
Feature44,13
Feature27,14
Feature52,15
Feature55,16
Feature47,17
Feature29,18
Feature60,19
Feature14,20
Feature39,21
Feature62,22
Feature38,23
Feature7,24
Feature8,25
Feature58,26
Feature25,27
Feature23,28
Feature3,29
Feature19,30
Feature35,31
Feature1,32
Feature53,33
Feature24,34
Feature30,35
Feature21,36
Feature9,37
Feature16,38
Feature59,39
Feature45,40
Feature26,41
Feature31,42
Feature20,43
Feature13,44
Feature4,45
Feature10,46
Feature6,47
Feature54,48
Feature18,49
Feature28,50
Feature51,51
Feature37,52
Feature41,53
Feature15,54
Feature50,55
Feature11,56
