n_features,features,mean_accuracy,mean_auc,mean_f1,mean_acc_0,mean_acc_1,mean_time,std_accuracy,std_auc,std_f1,std_acc_0,std_acc_1,std_time
3,"Feature63, Feature2, Feature46",0.6989655172413792,0.7795481640249442,0.7803296385541064,0.4595992895992896,0.8438108808116548,1.9963048934936523,0.09935111179008126,0.09891303466447135,0.07611290923883134,0.22312577974700948,0.08990101677002392,0.044965719683697204
4,"Feature63, Feature2, Feature46, Feature61",0.7055172413793104,0.7909670091403838,0.7854234813015302,0.4709881784881785,0.8467042885734836,1.9908281326293946,0.09207578145734976,0.09632121193805313,0.06934405288047653,0.25043640333373957,0.06371390381965264,0.024843791668118637
5,"Feature63, Feature2, Feature46, Feature61, Feature40",0.7459770114942529,0.805153878858213,0.8123519747300236,0.5468428793428793,0.8693921970702156,2.023017907142639,0.0768277100228062,0.08259898281173404,0.06105793330656537,0.2076147801177008,0.07744347186997823,0.056377570658501214
6,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56",0.7596551724137932,0.8316622331916449,0.8219966214919495,0.5674930624930625,0.871273002023776,1.971646213531494,0.07439090760545843,0.06815327982962675,0.05531130611332461,0.19503741066228372,0.07461425377526618,0.0020695051869774076
7,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42",0.7629885057471264,0.836882305717445,0.8239199899373197,0.5719588744588745,0.8706830467434183,1.9712120771408081,0.05578159853722326,0.05269788251783902,0.039292405852535364,0.16535219890343938,0.06756987039103637,0.04098508199253763
8,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39",0.7562068965517241,0.8312235504720025,0.8156352960404979,0.5944588744588745,0.8488524285312211,1.9596972942352295,0.05071675455665457,0.05664841113075296,0.0392737932461111,0.13796539541331815,0.05956767215756336,0.0012239826923736718
9,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43",0.7801149425287356,0.8351003811576568,0.832065555626331,0.6473434898434899,0.8537246804622965,2.020448684692383,0.05968617005215514,0.05747334031074849,0.04330261963899324,0.17313718566398625,0.06141965092822867,0.05188270292085385
10,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature1",0.7766666666666666,0.8366964277552513,0.8286826245649775,0.6410497835497835,0.8516933376221303,1.9997968435287476,0.0638051143295914,0.04409205988950463,0.05066757475402923,0.1630593732340825,0.055193928085887925,0.026302307902593598
11,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature1, Feature48",0.7764367816091954,0.838382017993473,0.8276292335115863,0.6552164502164503,0.8471478830766757,1.9916690111160278,0.062466267816129926,0.05117959678108398,0.05128873210365819,0.1435497544369708,0.05589049245629841,0.045105009157767315
12,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature1, Feature48, Feature62",0.78,0.8292855881075696,0.8335805214300598,0.6202164502164502,0.8669815581735086,2.014920711517334,0.07750434165447742,0.04595081008391115,0.06084811741510822,0.17477694176307784,0.05559179011995289,0.0032047184410891223
13,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature1, Feature48, Feature62, Feature22",0.7766666666666666,0.8388851139114296,0.8326800411267676,0.6125241425241424,0.8706421970702156,2.040109133720398,0.06917028986398628,0.04438894071800082,0.053058757124252516,0.16254270780503013,0.06482657248093072,0.04449807325382185
14,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature1, Feature48, Feature62, Feature22, Feature5",0.7833333333333333,0.8458416454546483,0.8369670976320593,0.6225241425241425,0.8740672034363985,2.0509911298751833,0.05652847386738064,0.04284700616414114,0.044791842229636517,0.1451538804514318,0.0439551962037779,0.018214982699550634
15,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature1, Feature48, Feature62, Feature22, Feature5, Feature44",0.7632183908045976,0.8358833477610567,0.8183209807048815,0.6150241425241425,0.8456246900674145,2.0336390495300294,0.06925036958319551,0.0530225944601447,0.06146659112488504,0.14287673410310964,0.06490000804513874,0.04534213793051907
16,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature1, Feature48, Feature62, Feature22, Feature5, Feature44, Feature49",0.7767816091954023,0.8405973915145741,0.8296598663118031,0.6452164502164501,0.8532348473679743,2.0047093629837036,0.08196909471123309,0.059523216185719534,0.06302124222896612,0.17366967743746112,0.0673072294020359,0.002584435792886339
17,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature1, Feature48, Feature62, Feature22, Feature5, Feature44, Feature49, Feature60",0.7531034482758621,0.8327025140608733,0.8111710604850642,0.6100999000999001,0.8373618314949585,2.028085803985596,0.08282691945460133,0.05779295879704286,0.06677696715607812,0.16776844054634513,0.07838796141274276,0.04332806744485193
18,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature1, Feature48, Feature62, Feature22, Feature5, Feature44, Feature49, Feature60, Feature32",0.7328735632183908,0.8323002963954977,0.7972224002658785,0.5563061938061938,0.8325999267330537,2.075361633300781,0.060421298017028925,0.05793585090150006,0.05232357056771237,0.14085559221813945,0.08132575327577087,0.020433248017538357
19,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature1, Feature48, Feature62, Feature22, Feature5, Feature44, Feature49, Feature60, Feature32, Feature17",0.7363218390804598,0.8270211390490028,0.8001731415379971,0.5625999000999001,0.8325999267330537,2.1387120962142943,0.07158474518473122,0.05768086310064414,0.057884395790431364,0.16328499671691532,0.08132575327577087,0.03985766702690222
20,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature1, Feature48, Feature62, Feature22, Feature5, Feature44, Feature49, Feature60, Feature32, Feature17, Feature55",0.7294252873563218,0.8320315078225293,0.7943585638295888,0.5549075924075925,0.826216320659045,2.0810464143753054,0.07198963534270975,0.061467083402607585,0.062136121351222366,0.15874202353515837,0.0796259437984826,0.0020346731249021683
21,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature1, Feature48, Feature62, Feature22, Feature5, Feature44, Feature49, Feature60, Feature32, Feature17, Feature55, Feature57",0.7360919540229884,0.8313178015941173,0.8013761076892377,0.5549075924075925,0.8379810265413979,2.1198494911193846,0.062103438702635724,0.06158191276890856,0.05011929663560236,0.15874202353515837,0.06895344944648515,0.003067999688601294
22,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature1, Feature48, Feature62, Feature22, Feature5, Feature44, Feature49, Feature60, Feature32, Feature17, Feature55, Feature57, Feature29",0.7360919540229884,0.8324918317549896,0.7997979162254628,0.5674075924075924,0.8320986736002215,2.1482322454452514,0.0672569978913622,0.06048172507460456,0.056489460107931926,0.14868621397374732,0.07236031974129842,0.05125506530398653
23,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature1, Feature48, Feature62, Feature22, Feature5, Feature44, Feature49, Feature60, Feature32, Feature17, Feature55, Feature57, Feature29, Feature52",0.7328735632183908,0.8337400524885045,0.798448546769924,0.559074259074259,0.8335867688383167,2.183497095108032,0.07092838857597808,0.0615447463886721,0.0576211792558742,0.14989049739866084,0.0762967830299986,0.030941919644091886
24,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature1, Feature48, Feature62, Feature22, Feature5, Feature44, Feature49, Feature60, Feature32, Feature17, Feature55, Feature57, Feature29, Feature52, Feature38",0.7295402298850575,0.8281435814214453,0.7959038990334605,0.546574259074259,0.8325999267330537,2.2000327110290527,0.0749598915081842,0.0582921450480298,0.06152616062406324,0.15921767391616556,0.08132575327577087,0.06612709898438686
25,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature1, Feature48, Feature62, Feature22, Feature5, Feature44, Feature49, Feature60, Feature32, Feature17, Feature55, Feature57, Feature29, Feature52, Feature38, Feature47",0.7295402298850575,0.8331209900637147,0.7959967782904265,0.5542665667665668,0.82832361094358,2.1558721542358397,0.06832083738688037,0.05293723797805395,0.05379871621628657,0.16413845659164042,0.07366696408970393,0.003118820120456671
26,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature1, Feature48, Feature62, Feature22, Feature5, Feature44, Feature49, Feature60, Feature32, Feature17, Feature55, Feature57, Feature29, Feature52, Feature38, Feature47, Feature25",0.7262068965517241,0.8267464197595776,0.79230733299787,0.5556651681651682,0.8223367688383169,2.1757360458374024,0.07046042639059838,0.06331268513974174,0.05740058631848818,0.1508904429934206,0.07178763054725242,0.04346094339120275
27,"Feature63, Feature2, Feature46, Feature61, Feature40, Feature56, Feature42, Feature39, Feature43, Feature1, Feature48, Feature62, Feature22, Feature5, Feature44, Feature49, Feature60, Feature32, Feature17, Feature55, Feature57, Feature29, Feature52, Feature38, Feature47, Feature25, Feature58",0.7263218390804598,0.826648884454612,0.7927897582722611,0.5542665667665668,0.8238248640764121,2.184386968612671,0.07951074132797392,0.062012001946612647,0.06287138174733028,0.16413845659164042,0.0882253657088676,0.028111326883854013
