feature_type,n_features,source_auc,source_accuracy,source_f1,target_baseline_auc,target_tca_auc,tca_improvement
best3,3,0.7709011164274322,0.7049425287356322,0.7861572352907398,0.6100923076923076,0.6157538461538461,0.005661538461538496
best4,4,0.7660552897395002,0.7187356321839081,0.7958404082928159,0.633230769230769,0.6295384615384615,-0.0036923076923075504
best5,5,0.7987772461456671,0.7218390804597702,0.7945924956515457,0.6385230769230769,0.6372923076923077,-0.0012307692307691465
best6,6,0.8152684742158426,0.7285057471264369,0.7983801150228697,0.6596923076923077,0.6465230769230769,-0.013169230769230822
best7,7,0.8280435938330675,0.7489655172413794,0.8111816837333434,0.6867692307692307,0.6793846153846154,-0.007384615384615323
best8,8,0.8321796916533758,0.7525287356321839,0.815103785103785,0.6516923076923077,0.6785230769230769,0.026830769230769214
best9,9,0.8405316321105796,0.7493103448275863,0.8106737431814832,0.6557538461538461,0.6818461538461538,0.026092307692307637
best10,10,0.8429133439659754,0.7795402298850574,0.8351388662685195,0.6593230769230769,0.6877538461538462,0.02843076923076926
best11,11,0.8444231791600212,0.7763218390804598,0.8331925605417261,0.6553846153846153,0.7056,0.05021538461538466
best12,12,0.8381339712918662,0.7695402298850575,0.8276486617160936,0.6653538461538462,0.6903384615384616,0.024984615384615383
best13,13,0.8441148325358852,0.7526436781609196,0.815438901171109,0.6464000000000001,0.6376615384615385,-0.008738461538461584
best14,14,0.8466081871345029,0.7425287356321839,0.8071652538036007,0.6372923076923076,0.6182153846153845,-0.019076923076923102
best15,15,0.8436629452418927,0.7424137931034482,0.8087245608895837,0.6419692307692308,0.625476923076923,-0.016492307692307806
best16,16,0.8450558213716108,0.7457471264367816,0.8111774832744402,0.6496,0.6151384615384615,-0.03446153846153843
best17,17,0.8436363636363635,0.7527586206896552,0.8153401969857175,0.6566153846153846,0.6124307692307692,-0.04418461538461538
best18,18,0.8464167995746944,0.7559770114942529,0.8176630773573784,0.6512,0.6148923076923077,-0.03630769230769226
best19,19,0.8451461988304094,0.7525287356321839,0.8147914876344989,0.6455384615384615,0.6135384615384615,-0.03200000000000003
best20,20,0.8413716108452949,0.7491954022988506,0.8119218369599702,0.6521846153846154,0.6557538461538462,0.00356923076923088
best21,21,0.8330568846358318,0.7489655172413794,0.8153134486662863,0.6379076923076923,0.6374153846153845,-0.0004923076923077918
best22,22,0.829117490696438,0.7524137931034482,0.8189084750608885,0.6366769230769231,0.6417230769230768,0.0050461538461537
best23,23,0.8304518872939924,0.7524137931034482,0.8189084750608885,0.6418461538461538,0.6302769230769231,-0.011569230769230776
best24,24,0.8265337586390217,0.7489655172413794,0.814043607396445,0.6354461538461539,0.6646153846153846,0.029169230769230725
best25,25,0.8281339712918661,0.7557471264367817,0.819729226125542,0.6311384615384615,0.6731076923076922,0.04196923076923065
best26,26,0.8295693779904306,0.7590804597701151,0.8223379217777159,0.6311384615384615,0.6707692307692308,0.03963076923076925
best27,27,0.824970760233918,0.7625287356321839,0.8264137691515483,0.6304,0.6724923076923077,0.04209230769230776
best28,28,0.8220520999468368,0.7590804597701151,0.8237278831676773,0.6347076923076923,0.6430769230769231,0.008369230769230795
best29,29,0.8232695374800636,0.7525287356321839,0.8184918445263369,0.6304000000000001,0.6617846153846154,0.031384615384615344
best30,30,0.8287772461456673,0.7626436781609196,0.826133933543098,0.6348307692307692,0.6496,0.014769230769230757
best31,31,0.826214779372674,0.7557471264367817,0.8193689051734483,0.6276923076923078,0.6529230769230769,0.025230769230769168
best32,32,0.8251408825093035,0.7525287356321839,0.8182553715427522,0.6363076923076922,0.6502153846153846,0.013907692307692399
best33,33,0.8275810738968634,0.745632183908046,0.813797231707038,0.6403692307692308,0.6601846153846154,0.019815384615384568
best34,34,0.8258107389686338,0.7489655172413794,0.8167861099284744,0.6406153846153847,0.6687999999999998,0.02818461538461514
best35,35,0.822482721956406,0.749080459770115,0.8146262943706712,0.6349538461538461,0.6685538461538462,0.033600000000000074
best36,36,0.8213822434875067,0.7389655172413794,0.80689922967955,0.6396307692307692,0.6702769230769231,0.03064615384615388
best37,37,0.8192503987240828,0.7424137931034483,0.8126135153938359,0.6411076923076922,0.6798769230769229,0.03876923076923078
best38,38,0.826241360978203,0.7457471264367816,0.8136189554429215,0.6454153846153845,0.6269538461538461,-0.018461538461538418
best39,39,0.8222913343965976,0.7354022988505747,0.80658594647153,0.6354461538461539,0.6306461538461539,-0.0048000000000000265
best40,40,0.8216905901116427,0.7388505747126437,0.8074651092890754,0.6344615384615384,0.6302769230769231,-0.004184615384615342
best41,41,0.8214726209463052,0.7354022988505747,0.8052774617431089,0.6360615384615386,0.6587076923076923,0.02264615384615376
best42,42,0.8222169059011163,0.7389655172413794,0.8092409658210296,0.6331076923076923,0.6552615384615385,0.02215384615384619
best43,43,0.8181499202551834,0.7388505747126437,0.8095790459099049,0.633353846153846,0.6516923076923077,0.018338461538461637
best44,44,0.8159489633173843,0.7355172413793103,0.8079158810240903,0.623876923076923,0.6336,0.009723076923077056
best45,45,0.8201541733120681,0.7356321839080461,0.8075764108637916,0.6286769230769231,0.6472615384615384,0.01858461538461531
best46,46,0.8153003721424774,0.7252873563218392,0.798734985641822,0.6371692307692308,0.6532923076923077,0.016123076923076907
best47,47,0.8112333864965443,0.732183908045977,0.8053071853719164,0.6311384615384614,0.6502153846153845,0.019076923076923102
best48,48,0.8096278575225944,0.7355172413793103,0.8079158810240903,0.6316307692307692,0.6509538461538461,0.019323076923076887
