feature_type,n_features,source_auc,source_accuracy,source_f1,target_baseline_auc,target_tca_auc,target_sa_auc,target_coral_auc,target_kmm_auc,tca_improvement,sa_improvement,coral_improvement,kmm_improvement
best3,3,0.7709011164274322,0.7049425287356322,0.7861572352907398,0.6100923076923076,0.6157538461538461,0.6022153846153845,0.5596307692307693,0.6331076923076923,0.005661538461538496,-0.007876923076923115,-0.050461538461538336,0.02301538461538466
best4,4,0.7660552897395002,0.7187356321839081,0.7958404082928159,0.633230769230769,0.6295384615384615,0.6259692307692306,0.5892923076923077,0.5755076923076923,-0.0036923076923075504,-0.00726153846153843,-0.04393846153846137,-0.057723076923076766
best5,5,0.7987772461456671,0.7218390804597702,0.7945924956515457,0.6385230769230769,0.6372923076923077,0.6187076923076923,0.5803076923076923,0.5859692307692308,-0.0012307692307691465,-0.019815384615384568,-0.05821538461538456,-0.05255384615384606
best6,6,0.8152684742158426,0.7285057471264369,0.7983801150228697,0.6596923076923077,0.6465230769230769,0.6463999999999999,0.6009846153846153,0.620676923076923,-0.013169230769230822,-0.013292307692307825,-0.05870769230769235,-0.039015384615384674
best7,7,0.8280435938330675,0.7489655172413794,0.8111816837333434,0.6867692307692307,0.6793846153846154,0.6729846153846153,0.6129230769230768,0.6567384615384615,-0.007384615384615323,-0.013784615384615395,-0.0738461538461539,-0.030030769230769194
best8,8,0.8321796916533758,0.7525287356321839,0.815103785103785,0.6516923076923077,0.6785230769230769,0.6412307692307693,0.5912615384615385,0.6180923076923077,0.026830769230769214,-0.010461538461538411,-0.06043076923076918,-0.03359999999999996
best9,9,0.8405316321105796,0.7493103448275863,0.8106737431814832,0.6557538461538461,0.6818461538461538,0.6564923076923077,0.5922461538461538,0.6137846153846154,0.026092307692307637,0.0007384615384615767,-0.06350769230769238,-0.04196923076923076
best10,10,0.8429133439659754,0.7795402298850574,0.8351388662685195,0.6593230769230769,0.6877538461538462,0.6562461538461537,0.5788307692307691,0.6296615384615385,0.02843076923076926,-0.0030769230769231992,-0.08049230769230775,-0.029661538461538406
best11,11,0.8444231791600212,0.7763218390804598,0.8331925605417261,0.6553846153846153,0.7056,0.6479999999999999,0.6166153846153846,0.5798153846153846,0.05021538461538466,-0.007384615384615434,-0.03876923076923078,-0.07556923076923072
best12,12,0.8381339712918662,0.7695402298850575,0.8276486617160936,0.6653538461538462,0.6903384615384616,0.6388923076923076,0.6184615384615384,0.6270769230769231,0.024984615384615383,-0.026461538461538536,-0.04689230769230779,-0.0382769230769231
best13,13,0.8441148325358852,0.7526436781609196,0.815438901171109,0.6464000000000001,0.6376615384615385,0.6092307692307691,0.6470153846153845,0.6439384615384613,-0.008738461538461584,-0.037169230769230954,0.0006153846153844622,-0.002461538461538737
best14,14,0.8466081871345029,0.7425287356321839,0.8071652538036007,0.6372923076923076,0.6182153846153845,0.6051692307692307,0.6528,0.6222769230769231,-0.019076923076923102,-0.03212307692307692,0.015507692307692444,-0.015015384615384542
best15,15,0.8436629452418927,0.7424137931034482,0.8087245608895837,0.6419692307692308,0.625476923076923,0.6093538461538461,0.6567384615384615,0.5481846153846153,-0.016492307692307806,-0.03261538461538471,0.014769230769230646,-0.09378461538461558
best16,16,0.8450558213716108,0.7457471264367816,0.8111774832744402,0.6496,0.6151384615384615,0.6158769230769231,0.6647384615384616,0.6120615384615385,-0.03446153846153843,-0.033723076923076856,0.015138461538461656,-0.03753846153846141
best17,17,0.8436363636363635,0.7527586206896552,0.8153401969857175,0.6566153846153846,0.6124307692307692,0.6272000000000001,0.6652307692307692,0.6665846153846153,-0.04418461538461538,-0.02941538461538451,0.00861538461538458,0.00996923076923073
best18,18,0.8464167995746944,0.7559770114942529,0.8176630773573784,0.6512,0.6148923076923077,0.6163692307692308,0.6656,0.6349538461538462,-0.03630769230769226,-0.03483076923076922,0.014399999999999968,-0.0162461538461538
best19,19,0.8451461988304094,0.7525287356321839,0.8147914876344989,0.6455384615384615,0.6135384615384615,0.6167384615384616,0.6660923076923077,0.608123076923077,-0.03200000000000003,-0.028799999999999937,0.020553846153846145,-0.03741538461538452
best20,20,0.8413716108452949,0.7491954022988506,0.8119218369599702,0.6521846153846154,0.6557538461538462,0.6161230769230768,0.6658461538461539,0.6587076923076923,0.00356923076923088,-0.03606153846153859,0.013661538461538503,0.006523076923076965
best21,21,0.8330568846358318,0.7489655172413794,0.8153134486662863,0.6379076923076923,0.6374153846153845,0.6448,0.6689230769230768,0.5624615384615386,-0.0004923076923077918,0.006892307692307753,0.031015384615384556,-0.07544615384615372
best22,22,0.829117490696438,0.7524137931034482,0.8189084750608885,0.6366769230769231,0.6417230769230768,0.6512,0.6743384615384617,0.6244923076923077,0.0050461538461537,0.01452307692307686,0.037661538461538524,-0.01218461538461546
best23,23,0.8304518872939924,0.7524137931034482,0.8189084750608885,0.6418461538461538,0.6302769230769231,0.6489846153846154,0.6759384615384615,0.6731076923076922,-0.011569230769230776,0.007138461538461538,0.034092307692307644,0.03126153846153834
best24,24,0.8265337586390217,0.7489655172413794,0.814043607396445,0.6354461538461539,0.6646153846153846,0.647876923076923,0.6699076923076923,0.6457846153846153,0.029169230769230725,0.012430769230769134,0.03446153846153843,0.010338461538461408
best25,25,0.8281339712918661,0.7557471264367817,0.819729226125542,0.6311384615384615,0.6731076923076922,0.6432,0.6743384615384616,0.6163692307692307,0.04196923076923065,0.012061538461538457,0.043200000000000016,-0.014769230769230868
best26,26,0.8295693779904306,0.7590804597701151,0.8223379217777159,0.6311384615384615,0.6707692307692308,0.6307692307692307,0.6684307692307692,0.6904615384615383,0.03963076923076925,-0.00036923076923078835,0.037292307692307625,0.05932307692307681
best27,27,0.824970760233918,0.7625287356321839,0.8264137691515483,0.6304,0.6724923076923077,0.6225230769230768,0.6672,0.6364307692307692,0.04209230769230776,-0.007876923076923115,0.036800000000000055,0.006030769230769284
